player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
N. Laszewski,F,30,4,7,1,3,4,6,1,4,5,2,0,0,0,1,13,TRUE,2020-12-19,Purdue,N
T. Wertz,G,29,8,13,5,10,6,7,0,4,4,5,0,1,1,1,27,TRUE,2020-12-19,Purdue,N
C. Ryan,G,35,5,13,4,11,0,0,1,2,3,4,0,0,4,4,14,TRUE,2020-12-19,Purdue,N
D. Goodwin,G,32,3,12,3,7,0,0,3,3,6,3,0,0,0,0,9,TRUE,2020-12-19,Purdue,N
P. Hubb,G,38,0,7,0,4,0,0,2,4,6,4,0,1,2,3,0,TRUE,2020-12-19,Purdue,N
M. Zona,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,2020-12-19,Purdue,N
J. Durham,F,19,1,4,0,1,2,2,1,2,3,2,0,2,1,4,4,FALSE,2020-12-19,Purdue,N
T. Sanders Jr.,G,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,2020-12-19,Purdue,N
N. Djogo,G,16,3,5,3,5,2,2,0,1,1,1,1,0,1,1,11,FALSE,2020-12-19,Purdue,N
TEAM,NA,NA,24,61,16,41,14,17,9,22,31,21,1,4,9,14,78,FALSE,2020-12-19,Purdue,N
