player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
M. Linssen,F,19,2,4,0,0,7,8,2,0,2,0,1,0,2,0,11,TRUE,2020-11-25,SIU Edwardsville,H
J. Perkins,G,20,8,11,4,5,2,2,1,3,4,2,0,0,0,1,22,TRUE,2020-11-25,SIU Edwardsville,H
Y. Collins,G,21,1,3,0,1,0,0,1,2,3,6,3,0,1,2,2,TRUE,2020-11-25,SIU Edwardsville,H
G. Jimerson,G,15,4,6,3,3,0,0,1,1,2,0,0,0,0,0,11,TRUE,2020-11-25,SIU Edwardsville,H
J. Goodwin,G,23,5,11,0,3,2,3,2,9,11,4,2,0,4,3,12,TRUE,2020-11-25,SIU Edwardsville,H
J. Bell Jr.,F,15,1,3,0,0,1,2,1,1,2,3,0,0,1,0,3,FALSE,2020-11-25,SIU Edwardsville,H
A. Lorentsson,F,6,0,2,0,2,2,2,0,1,1,0,1,0,0,0,2,FALSE,2020-11-25,SIU Edwardsville,H
T. Hargrove Jr.,F,19,4,9,2,3,1,1,1,1,2,1,1,0,1,3,11,FALSE,2020-11-25,SIU Edwardsville,H
P. Russell,G,13,1,3,1,3,0,0,1,0,1,0,2,0,2,2,3,FALSE,2020-11-25,SIU Edwardsville,H
M. Strickland,G,15,1,6,0,0,1,2,2,2,4,0,2,0,0,1,3,FALSE,2020-11-25,SIU Edwardsville,H
J. Hightower,G,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,FALSE,2020-11-25,SIU Edwardsville,H
F. Thatch Jr.,G,5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,FALSE,2020-11-25,SIU Edwardsville,H
D. Jacobs,G,22,1,3,0,2,7,10,0,5,5,1,1,0,2,0,9,FALSE,2020-11-25,SIU Edwardsville,H
B. Courtney,G,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,2020-11-25,SIU Edwardsville,H
TEAM,NA,NA,28,61,10,22,23,30,14,26,40,17,13,0,14,13,89,FALSE,2020-11-25,SIU Edwardsville,H
