player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
D. Harris,F,26,4,5,0,0,0,0,1,6,7,0,0,0,2,3,8,TRUE,2020-12-15,Lamar,A
T. Stevenson,F,38,3,8,0,0,1,2,3,9,12,2,0,2,2,3,7,TRUE,2020-12-15,Lamar,A
J. Pierre Jr.,G,19,1,3,0,2,0,0,1,0,1,3,0,0,3,0,2,TRUE,2020-12-15,Lamar,A
T. Hardy,G,32,5,8,2,4,1,1,0,0,0,3,1,0,3,2,13,TRUE,2020-12-15,Lamar,A
L. Draine,G,24,2,6,2,5,0,1,0,4,4,2,1,0,4,4,6,TRUE,2020-12-15,Lamar,A
A. Konontsuk,F,22,5,8,3,5,2,2,2,2,4,2,1,0,3,2,15,FALSE,2020-12-15,Lamar,A
T. Morman,F,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,2020-12-15,Lamar,A
M. Jaakson,G,6,1,2,1,2,0,0,0,0,0,0,0,0,0,0,3,FALSE,2020-12-15,Lamar,A
J. Johnson,G,10,3,6,1,2,1,1,0,3,3,1,0,1,1,1,8,FALSE,2020-12-15,Lamar,A
J. Malone,G,22,2,6,0,1,0,0,0,1,1,3,0,0,3,4,4,FALSE,2020-12-15,Lamar,A
TEAM,NA,NA,26,52,9,21,5,7,9,27,36,16,3,3,21,19,66,FALSE,2020-12-15,Lamar,A
