player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
J. Stephens,C,30,3,10,0,5,1,2,1,6,7,3,0,0,4,2,7,TRUE,2020-11-28,Penn State,A
S. Conway,G,31,3,8,1,5,0,0,2,3,5,1,0,0,1,2,7,TRUE,2020-11-28,Penn State,A
K. Curfman,G,35,5,10,5,9,2,2,0,3,3,2,1,0,1,1,17,TRUE,2020-11-28,Penn State,A
M. Lewis,G,21,2,5,0,0,3,5,4,2,6,0,2,0,3,1,7,TRUE,2020-11-28,Penn State,A
G. Parham,G,35,7,10,3,5,4,8,0,3,3,3,2,0,5,1,21,TRUE,2020-11-28,Penn State,A
C. Arnold,F,6,0,2,0,2,0,0,0,1,1,0,0,0,2,1,0,FALSE,2020-11-28,Penn State,A
T. Fahl,F,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,2020-11-28,Penn State,A
D. Nussbaum,C,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,2020-11-28,Penn State,A
T. Mans,G,8,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,FALSE,2020-11-28,Penn State,A
D. Butler,G,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,2020-11-28,Penn State,A
T. Bonham,G,9,0,2,0,0,2,2,1,1,2,0,0,0,4,0,2,FALSE,2020-11-28,Penn State,A
L. Tang,G,19,2,4,0,1,0,0,2,5,7,0,0,0,2,5,4,FALSE,2020-11-28,Penn State,A
T. Bond,G,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,2020-11-28,Penn State,A
TEAM,NA,NA,22,52,9,28,12,19,11,25,36,9,5,0,25,13,65,FALSE,2020-11-28,Penn State,A
