player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
M. Stute,F,14,1,3,0,2,2,3,0,0,0,0,1,0,1,0,4,TRUE,2021-01-23,Arkansas,H
C. Brown,F,22,2,4,0,1,0,1,1,1,2,0,0,0,2,4,4,TRUE,2021-01-23,Arkansas,H
J. Wright,G,28,2,6,0,2,2,2,1,4,5,1,1,1,2,2,6,TRUE,2021-01-23,Arkansas,H
S. Pippen Jr.,G,29,6,14,0,2,3,4,1,2,3,5,1,0,4,1,15,TRUE,2021-01-23,Arkansas,H
D.J. Harvey,G,30,6,10,3,6,1,1,0,4,4,0,1,0,3,3,16,TRUE,2021-01-23,Arkansas,H
E. Obinna,F,18,2,5,0,0,2,2,4,3,7,0,0,0,1,2,6,FALSE,2021-01-23,Arkansas,H
T. Thomas,G,23,1,5,1,4,0,0,0,1,1,1,2,0,3,2,3,FALSE,2021-01-23,Arkansas,H
I. McBride,G,16,1,3,0,0,1,3,0,0,0,3,1,1,0,0,3,FALSE,2021-01-23,Arkansas,H
M. Evans,G,20,5,8,2,5,2,3,1,4,5,1,2,0,0,1,14,FALSE,2021-01-23,Arkansas,H
TEAM,NA,NA,26,58,6,22,13,19,8,21,29,11,9,2,16,15,71,FALSE,2021-01-23,Arkansas,H
