number,name,position,height,weight,class,hometown
1,Tony Johnson Jr.,G,"6' 3""",185 lbs,SO,"Eufaula, AL"
2,Darius Perry,G,"6' 2""",195 lbs,SR,"Marietta, GA"
3,Isaiah Adams,F,"6' 6""",170 lbs,FR,"Jacksonville, FL"
4,Jamille Reynolds,F,"6' 9""",230 lbs,FR,"Saint Petersburg, FL"
5,Avery Diggs,C,"6' 11""",250 lbs,SR,"Brandon, FL"
10,Levy Renaud,G,"6' 2""",180 lbs,JR,"Fort Lauderdale, FL"
11,Xavier Grant,G,"6' 3""",180 lbs,JR,"Fort Lauderdale, FL"
13,Brandon Mahan,G,"6' 5""",200 lbs,SR,"Birmingham, AL"
14,Ibrahim Famouke Doumbia,F,"6' 7""",205 lbs,JR,"Bamako, Mali"
15,Isaac Ward,G,"6' 0""",185 lbs,FR,"Tampa, FL"
20,Sean Mobley,F,"6' 8""",225 lbs,JR,"Orlando, FL"
21,C.J. Walker,F,"6' 8""",200 lbs,SO,"Sanford, FL"
22,Darin Green Jr.,G,"6' 4""",180 lbs,SO,"Charlotte, NC"
24,Dre Fuller Jr.,G,"6' 5""",210 lbs,SO,"Fayetteville, NC"
25,Ryan Anders,F,"6' 6""",220 lbs,JR,"Tampa, FL"
33,Moses Bol,C,"7' 1""",225 lbs,JR,"Wau, South Sudan"
