game_id,date,opponent,location,team_score,opp_score,record
401265735,2020-11-29,Greenville,H,173,95,1-0 (0-0)
401259050,2020-12-02,Middle Tennessee,A,61,78,1-1 (0-0)
401266881,2020-12-05,Illinois State,H,76,65,2-1 (0-0)
401259954,2020-12-08,Austin Peay,H,87,57,3-1 (1-0)
401259955,2020-12-11,Southern Illinois,A,66,70,3-2 (1-0)
401268997,2020-12-15,Transylvania,H,90,49,13-13 (10-10)
401259957,2020-12-21,Austin Peay,A,70,74,4-3 (1-1)
401258174,2020-12-30,Belmont,A,55,68,4-4 (1-2)
401258183,2021-01-02,Morehead State,H,56,61,4-5 (1-3)
401258187,2021-01-07,Eastern Illinois,A,68,74,4-6 (1-4)
401258207,2021-01-16,UT Martin,A,79,57,5-6 (2-4)
401258212,2021-01-21,Jacksonville State,H,82,85,5-7 (2-5)
401258220,2021-01-23,Tennessee Tech,H,72,63,6-7 (3-5)
401258225,2021-01-28,Tennessee State,H,73,53,7-7 (4-5)
401258228,2021-01-30,Belmont,H,71,72,7-8 (4-6)
401276898,2021-02-01,Southeast Missouri State,A,77,60,8-8 (5-6)
401258236,2021-02-04,Morehead State,A,56,66,8-9 (5-7)
401258242,2021-02-06,Eastern Kentucky,A,76,64,9-9 (6-7)
401258249,2021-02-12,Southeast Missouri State,H,80,60,10-9 (7-7)
401258256,2021-02-13,UT Martin,H,84,55,11-9 (8-7)
401286183,2021-02-15,SIU Edwardsville,A,86,57,12-9 (9-7)
401258259,2021-02-18,Eastern Illinois,H,59,68,12-10 (9-8)
401258268,2021-02-20,SIU Edwardsville,H,89,62,13-10 (10-8)
401258272,2021-02-25,Jacksonville State,A,74,87,13-11 (10-9)
401258279,2021-02-27,Tennessee Tech,A,61,71,13-12 (10-10)
401309035,2021-03-04,Jacksonville State,N,65,68,13-13 (10-10)
