player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
J. Williams,F,33,8,19,2,4,0,0,1,1,2,3,2,0,4,3,18,TRUE,2022-03-01,Toledo,H
J. Mballa,F,29,5,11,0,0,1,2,4,6,10,1,1,0,2,3,11,TRUE,2022-03-01,Toledo,H
D. Skogman,C,19,3,4,1,1,0,0,1,3,4,1,0,2,2,1,7,TRUE,2022-03-01,Toledo,H
R. Segu,G,31,8,15,3,5,1,1,3,2,5,5,0,0,1,4,20,TRUE,2022-03-01,Toledo,H
M. Jack,G,30,5,11,1,4,2,3,1,2,3,1,0,2,0,3,13,TRUE,2022-03-01,Toledo,H
L. Saleh,F,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,2022-03-01,Toledo,H
T. Fagan,F,11,0,1,0,1,0,0,0,2,2,0,1,0,0,0,0,FALSE,2022-03-01,Toledo,H
L. Hardnett,F,14,0,0,0,0,0,0,3,3,6,0,0,1,1,0,0,FALSE,2022-03-01,Toledo,H
B. Bertram,C,3,1,1,0,0,0,0,1,1,2,0,0,0,0,0,2,FALSE,2022-03-01,Toledo,H
C. Jones,G,16,1,4,0,3,0,0,0,2,2,4,0,0,0,0,2,FALSE,2022-03-01,Toledo,H
K. Blocker,G,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,2022-03-01,Toledo,H
K. Brewton,G,11,1,5,1,5,0,0,0,0,0,1,0,0,0,0,3,FALSE,2022-03-01,Toledo,H
J. Bivens,G,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,2022-03-01,Toledo,H
TEAM,NA,NA,32,72,8,23,4,6,15,22,37,16,4,5,11,14,76,FALSE,2022-03-01,Toledo,H
