player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
A. Carr,F,21,3,5,0,0,3,6,2,1,3,0,0,0,2,3,9,TRUE,2022-02-17,Elon,A
J. Nelson Jr.,G,27,5,8,2,3,5,7,1,3,4,0,1,0,3,4,17,TRUE,2022-02-17,Elon,A
E. Asamoah,G,29,2,4,1,2,0,0,1,4,5,0,1,1,0,1,5,TRUE,2022-02-17,Elon,A
R. Allen,G,34,2,8,1,6,8,9,0,2,2,3,3,0,0,2,13,TRUE,2022-02-17,Elon,A
K. Anderson,G,35,4,8,1,3,3,4,0,1,1,2,2,0,1,3,12,TRUE,2022-02-17,Elon,A
J. Davis,F,23,2,7,0,0,7,10,1,9,10,0,0,0,2,1,11,FALSE,2022-02-17,Elon,A
A. Ochefu,F,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,FALSE,2022-02-17,Elon,A
D. Painter,F,23,0,3,0,0,1,3,1,4,5,2,2,1,1,2,1,FALSE,2022-02-17,Elon,A
G. Arletti,G,3,1,1,1,1,0,0,0,2,2,0,0,0,0,0,3,FALSE,2022-02-17,Elon,A
R. Gardner Jr.,G,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,FALSE,2022-02-17,Elon,A
TEAM,NA,NA,19,45,6,15,27,39,7,29,36,7,9,2,10,19,71,FALSE,2022-02-17,Elon,A
