player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
D. Blanton,F,27,4,6,0,0,0,0,0,1,1,3,1,0,0,5,8,TRUE,2022-01-27,Florida Gulf Coast,A
T. Balogun,F,23,5,6,0,0,0,0,2,5,7,1,0,0,0,1,10,TRUE,2022-01-27,Florida Gulf Coast,A
C. Lewis,G,27,2,3,2,2,1,4,0,12,12,1,3,0,3,2,7,TRUE,2022-01-27,Florida Gulf Coast,A
R. Cruickshank,G,19,1,5,0,2,0,0,0,2,2,3,3,0,1,4,2,TRUE,2022-01-27,Florida Gulf Coast,A
C. Robb,G,36,3,6,0,2,2,4,1,0,1,3,1,0,2,3,8,TRUE,2022-01-27,Florida Gulf Coast,A
M. Moreno,F,19,5,8,1,3,0,0,2,1,3,0,0,0,1,2,11,FALSE,2022-01-27,Florida Gulf Coast,A
J. Williams,F,18,2,10,2,9,1,2,0,1,1,0,1,0,0,2,7,FALSE,2022-01-27,Florida Gulf Coast,A
I. Minter,G,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,FALSE,2022-01-27,Florida Gulf Coast,A
J. Brown,G,30,8,20,0,4,4,6,0,0,0,2,1,0,1,3,20,FALSE,2022-01-27,Florida Gulf Coast,A
TEAM,NA,NA,30,65,5,22,8,16,9,24,33,13,10,0,9,22,73,FALSE,2022-01-27,Florida Gulf Coast,A
