player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
B. Baruti,F,12,0,1,0,0,0,0,0,3,3,0,0,0,1,3,0,TRUE,2022-01-08,Marshall,A
V. Goldin,C,16,1,2,0,0,2,2,2,2,4,0,0,1,1,2,4,TRUE,2022-01-08,Marshall,A
A. Martin,G,32,5,11,1,4,6,8,1,3,4,2,2,0,1,3,17,TRUE,2022-01-08,Marshall,A
B. Greenlee,G,32,2,5,1,4,2,2,0,3,3,10,3,0,2,2,7,TRUE,2022-01-08,Marshall,A
M. Forrest,G,36,9,16,6,11,3,3,3,0,3,0,1,0,1,0,27,TRUE,2022-01-08,Marshall,A
G. Rosado,F,11,5,7,0,0,1,2,1,2,3,1,0,0,1,4,11,FALSE,2022-01-08,Marshall,A
M. Niang,F,15,3,4,0,0,2,2,2,4,6,0,1,1,2,2,8,FALSE,2022-01-08,Marshall,A
J. Davis,G,26,3,7,0,3,3,3,0,5,5,0,3,1,1,3,9,FALSE,2022-01-08,Marshall,A
E. Winchester,G,20,2,3,0,0,3,7,0,2,2,2,0,0,1,3,7,FALSE,2022-01-08,Marshall,A
TEAM,NA,NA,30,56,8,22,22,29,9,25,34,15,10,3,11,22,90,FALSE,2022-01-08,Marshall,A
