player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
D. Ridgnal,F,18,2,3,0,1,0,0,0,4,4,0,0,0,0,1,4,TRUE,2022-02-16,LSU,A
J. Etter,F,28,0,8,0,3,0,0,1,3,4,1,1,0,2,0,0,TRUE,2022-02-16,LSU,A
B. Bridges,G,31,2,2,0,0,5,6,2,2,4,1,1,0,3,3,9,TRUE,2022-02-16,LSU,A
K. Oquendo,G,33,8,16,3,7,7,7,1,4,5,0,0,1,3,2,26,TRUE,2022-02-16,LSU,A
A. Cook,G,26,2,5,1,3,1,2,0,2,2,2,1,0,5,0,6,TRUE,2022-02-16,LSU,A
J. Taylor,F,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,2022-02-16,LSU,A
C. Wright,G,20,2,2,1,1,2,2,1,1,2,3,2,0,3,2,7,FALSE,2022-02-16,LSU,A
C. McDowell,G,4,1,1,0,0,0,0,0,0,0,1,1,0,1,0,2,FALSE,2022-02-16,LSU,A
J. Abdur-Rahim,G,17,0,4,0,4,2,2,0,1,1,1,1,0,3,2,2,FALSE,2022-02-16,LSU,A
N. Baumann,G,22,3,4,3,4,0,0,0,2,2,1,0,0,2,3,9,FALSE,2022-02-16,LSU,A
TEAM,NA,NA,20,45,8,23,17,19,6,21,27,10,7,1,26,13,65,FALSE,2022-02-16,LSU,A
