player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
E. Izunabor,F,22,5,9,0,0,0,0,5,5,10,3,2,2,0,3,10,TRUE,2021-11-09,Shenandoah,H
Z. Austin,F,20,7,11,2,4,4,4,2,7,9,2,3,4,1,0,20,TRUE,2021-11-09,Shenandoah,H
R. Peterson III,F,19,3,5,0,0,3,4,3,1,4,2,1,0,1,0,9,TRUE,2021-11-09,Shenandoah,H
J. House,G,20,5,8,0,1,2,3,4,2,6,3,0,1,1,1,12,TRUE,2021-11-09,Shenandoah,H
J. Wright,G,20,8,14,5,8,2,4,0,4,4,6,2,1,0,2,23,TRUE,2021-11-09,Shenandoah,H
C. Wright,F,18,2,7,0,0,0,0,1,4,5,0,0,0,0,1,4,FALSE,2021-11-09,Shenandoah,H
A. Holt,F,23,3,6,0,0,3,6,4,6,10,0,1,2,2,2,9,FALSE,2021-11-09,Shenandoah,H
C. Sanchez,F,11,0,0,0,0,0,0,0,2,2,0,0,1,1,1,0,FALSE,2021-11-09,Shenandoah,H
A. Hoynack,G,9,0,2,0,1,4,7,0,2,2,2,0,0,0,1,4,FALSE,2021-11-09,Shenandoah,H
B. Childress,G,21,4,8,4,8,2,2,0,2,2,1,0,0,0,2,14,FALSE,2021-11-09,Shenandoah,H
J. Hughes,G,17,1,4,1,4,0,1,1,2,3,1,0,0,1,2,3,FALSE,2021-11-09,Shenandoah,H
TEAM,NA,NA,38,74,12,26,20,31,20,37,57,20,9,11,8,15,108,FALSE,2021-11-09,Shenandoah,H
