player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
P. Hazen,F,31,5,7,3,4,0,0,2,3,5,4,0,1,1,0,13,TRUE,2022-01-11,Jacksonville State,A
A. Asadullah,C,31,5,15,1,2,0,1,0,9,9,3,0,0,2,2,11,TRUE,2022-01-11,Jacksonville State,A
KJ Johnson,G,28,5,11,0,2,0,0,0,4,4,6,0,0,2,1,10,TRUE,2022-01-11,Jacksonville State,A
W. Pruitt,G,36,3,8,2,5,6,6,2,7,9,3,0,0,4,3,14,TRUE,2022-01-11,Jacksonville State,A
G. Jones,G,33,4,9,3,7,5,6,1,2,3,2,0,0,0,4,16,TRUE,2022-01-11,Jacksonville State,A
J. Ognacevic,F,16,4,6,2,4,3,5,1,4,5,0,0,0,1,2,13,FALSE,2022-01-11,Jacksonville State,A
Q. Clark,G,8,1,2,0,0,0,0,0,0,0,0,0,0,0,1,2,FALSE,2022-01-11,Jacksonville State,A
T. Murr,G,13,2,2,0,0,0,0,0,0,0,0,1,0,2,0,4,FALSE,2022-01-11,Jacksonville State,A
T. Shulman,G,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,FALSE,2022-01-11,Jacksonville State,A
TEAM,NA,NA,29,60,11,24,14,18,7,29,36,19,1,1,12,13,83,FALSE,2022-01-11,Jacksonville State,A
