player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
D. Brown,F,32,7,13,1,4,0,0,1,9,10,1,1,1,3,2,15,TRUE,2021-12-04,Indiana State,A
P. Ayah,F,17,2,4,0,0,0,0,1,2,3,1,1,1,4,5,4,TRUE,2021-12-04,Indiana State,A
D. Grant,G,28,2,8,0,3,0,0,1,0,1,4,1,0,2,2,4,TRUE,2021-12-04,Indiana State,A
M. White,G,33,2,4,1,2,1,2,0,5,5,0,0,0,1,2,6,TRUE,2021-12-04,Indiana State,A
M. Lairy,G,28,7,16,2,5,2,2,0,5,5,2,0,0,0,2,18,TRUE,2021-12-04,Indiana State,A
C. Harrison IV,F,6,0,0,0,0,2,2,0,1,1,0,0,0,0,0,2,FALSE,2021-12-04,Indiana State,A
K. Williams,F,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,2021-12-04,Indiana State,A
E. McNamara,F,25,5,10,0,0,1,1,1,2,3,0,1,0,2,3,11,FALSE,2021-12-04,Indiana State,A
I. Coleman-Lands,G,27,3,10,2,6,0,0,0,4,4,2,1,0,0,0,8,FALSE,2021-12-04,Indiana State,A
TEAM,NA,NA,28,65,6,20,6,7,9,29,38,10,5,2,13,16,68,FALSE,2021-12-04,Indiana State,A
