player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
E. Dowuona,F,33,2,3,0,0,0,0,5,2,7,2,0,5,1,4,4,TRUE,2022-02-23,Boston College,H
J. Hellems,F,34,3,9,2,7,0,0,0,4,4,1,0,1,2,4,8,TRUE,2022-02-23,Boston College,H
T. Smith,G,28,8,18,4,10,1,2,3,4,7,2,1,1,1,4,21,TRUE,2022-02-23,Boston College,H
D. Seabron,G,35,7,13,1,1,5,6,0,3,3,2,1,1,6,0,20,TRUE,2022-02-23,Boston College,H
C. Morsell,G,32,2,5,2,3,0,0,0,2,2,1,2,0,2,0,6,TRUE,2022-02-23,Boston College,H
J. Gibson,F,7,0,1,0,0,0,0,1,1,2,0,1,0,2,0,0,FALSE,2022-02-23,Boston College,H
C. Hayes,G,18,1,3,0,1,0,0,0,0,0,1,0,0,3,0,2,FALSE,2022-02-23,Boston College,H
B. Pass,G,11,0,2,0,0,0,0,2,1,3,1,0,0,0,2,0,FALSE,2022-02-23,Boston College,H
T. Allen,G,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,2022-02-23,Boston College,H
TEAM,NA,NA,23,54,9,22,6,8,12,19,31,10,5,8,17,14,61,FALSE,2022-02-23,Boston College,H
