player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
M. Bell,F,22,1,2,0,0,2,5,1,2,3,0,0,0,2,5,4,TRUE,2022-01-15,Jackson State,A
J. Kendall,F,18,3,6,0,0,2,2,0,1,1,0,0,0,0,2,8,TRUE,2022-01-15,Jackson State,A
J. Daniels,G,36,4,6,0,1,8,8,0,6,6,1,0,0,0,1,16,TRUE,2022-01-15,Jackson State,A
D. Cox,G,33,0,1,0,1,1,4,0,0,0,0,3,0,5,0,1,TRUE,2022-01-15,Jackson State,A
J. Gambrell,G,25,6,10,2,5,2,2,0,4,4,1,0,0,1,3,16,TRUE,2022-01-15,Jackson State,A
B. Myles,F,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,FALSE,2022-01-15,Jackson State,A
E. Ifejeh,F,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,FALSE,2022-01-15,Jackson State,A
D. Ware,G,11,1,2,0,0,0,0,0,1,1,0,0,0,0,4,2,FALSE,2022-01-15,Jackson State,A
D. Roberts,G,16,2,8,1,2,1,2,0,2,2,0,0,0,3,1,6,FALSE,2022-01-15,Jackson State,A
J. Hughes,G,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,FALSE,2022-01-15,Jackson State,A
Ty Chisom,G,6,0,1,0,0,3,4,0,0,0,0,0,0,0,0,3,FALSE,2022-01-15,Jackson State,A
C. Guess,G,16,0,1,0,0,0,0,0,3,3,0,0,0,0,1,0,FALSE,2022-01-15,Jackson State,A
W. Douglas,G,9,2,3,0,1,0,0,1,0,1,0,0,0,0,2,4,FALSE,2022-01-15,Jackson State,A
TEAM,NA,NA,21,42,3,10,19,27,3,21,24,2,3,0,12,20,64,FALSE,2022-01-15,Jackson State,A
