player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
M. Gueye,F,35,4,8,1,3,6,6,3,3,6,1,0,3,1,3,15,TRUE,2021-12-18,St. John's,H
J. Hugley,F,25,2,7,0,1,3,4,3,5,8,2,0,2,3,3,7,TRUE,2021-12-18,St. John's,H
W. Jeffress,G,26,1,3,1,1,1,2,0,2,2,0,0,0,0,2,4,TRUE,2021-12-18,St. John's,H
F. Odukale,G,38,1,12,0,3,4,6,1,5,6,3,0,0,5,3,6,TRUE,2021-12-18,St. John's,H
J. Burton,G,37,5,13,1,2,9,10,0,4,4,0,1,0,5,1,20,TRUE,2021-12-18,St. John's,H
D. Oladapo,F,3,0,0,0,0,0,0,1,0,1,0,0,0,2,1,0,FALSE,2021-12-18,St. John's,H
N. Santos,F,4,0,0,0,0,0,0,0,2,2,0,0,0,1,1,0,FALSE,2021-12-18,St. John's,H
N. Collier,F,14,2,5,0,0,0,0,2,0,2,0,0,1,1,0,4,FALSE,2021-12-18,St. John's,H
O. Ezeakudo,G,18,1,2,1,2,0,0,1,2,3,2,1,0,0,2,3,FALSE,2021-12-18,St. John's,H
TEAM,NA,NA,16,50,4,12,23,28,13,25,38,8,2,6,18,16,59,FALSE,2021-12-18,St. John's,H
