player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
J. Davis,F,28,5,8,0,0,6,8,3,5,8,0,2,1,1,4,16,TRUE,2022-01-22,Maryland-Eastern Shore,A
O. Croskey,F,32,5,11,2,6,0,0,3,6,9,1,0,0,2,2,12,TRUE,2022-01-22,Maryland-Eastern Shore,A
D. Williams,F,31,2,5,0,0,1,3,3,9,12,0,2,0,4,2,5,TRUE,2022-01-22,Maryland-Eastern Shore,A
TJ Madlock,G,31,6,12,0,4,1,2,1,2,3,1,4,0,5,5,13,TRUE,2022-01-22,Maryland-Eastern Shore,A
R. Edwards,G,25,1,4,0,1,0,0,1,2,3,4,1,0,4,2,2,TRUE,2022-01-22,Maryland-Eastern Shore,A
R. Gary,G,17,1,6,1,4,4,4,0,1,1,1,0,0,2,2,7,FALSE,2022-01-22,Maryland-Eastern Shore,A
E. Oliver-Hampton,G,9,3,6,0,0,0,0,1,2,3,0,0,0,0,2,6,FALSE,2022-01-22,Maryland-Eastern Shore,A
R. Brown,G,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,FALSE,2022-01-22,Maryland-Eastern Shore,A
C. Jones,G,26,2,6,1,3,3,3,1,2,3,0,0,0,5,2,8,FALSE,2022-01-22,Maryland-Eastern Shore,A
TEAM,NA,NA,25,58,4,18,15,20,14,33,47,7,9,1,23,22,69,FALSE,2022-01-22,Maryland-Eastern Shore,A
