player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
K. Cross,F,37,4,11,1,3,7,7,1,7,8,3,0,0,0,2,16,TRUE,2022-02-23,Houston,H
S. James,G,37,5,8,3,5,0,0,0,3,3,3,0,0,1,3,13,TRUE,2022-02-23,Houston,H
J. Coleman,G,28,1,5,1,5,0,0,0,2,2,1,1,0,0,3,3,TRUE,2022-02-23,Houston,H
J. Cook,G,38,7,17,3,6,2,2,0,1,1,2,1,0,0,2,19,TRUE,2022-02-23,Houston,H
J. Forbes,G,38,5,12,1,4,2,4,0,5,5,1,0,0,2,3,13,TRUE,2022-02-23,Houston,H
T. Pope,F,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,2022-02-23,Houston,H
N. Days,F,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,FALSE,2022-02-23,Houston,H
R.J. McGee,G,6,0,0,0,0,0,2,1,0,1,0,0,0,0,1,0,FALSE,2022-02-23,Houston,H
D. Baker,G,9,1,3,0,2,1,2,0,0,0,0,0,0,0,1,3,FALSE,2022-02-23,Houston,H
TEAM,NA,NA,23,56,9,25,12,17,4,24,28,10,2,0,4,15,67,FALSE,2022-02-23,Houston,H
