player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
F. Skobalj,F,32,6,11,3,7,0,0,5,6,11,4,0,0,1,4,15,TRUE,2022-01-20,Northern Kentucky,H
Z. Griffin,F,36,4,11,3,6,0,0,1,1,2,3,2,3,0,1,11,TRUE,2022-01-20,Northern Kentucky,H
J. Carter,G,25,1,4,0,2,1,2,1,4,5,0,0,0,1,4,3,TRUE,2022-01-20,Northern Kentucky,H
D. Franklin,G,36,7,21,1,7,2,2,3,6,9,6,1,1,2,3,17,TRUE,2022-01-20,Northern Kentucky,H
K. Johnson,G,39,4,13,3,8,2,3,0,2,2,3,1,0,3,1,13,TRUE,2022-01-20,Northern Kentucky,H
B. Battle,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,2022-01-20,Northern Kentucky,H
M. Diggins,F,13,1,1,0,0,0,0,1,1,2,0,1,2,5,0,2,FALSE,2022-01-20,Northern Kentucky,H
J. Warren,G,17,0,2,0,1,0,0,0,0,0,2,0,0,2,1,0,FALSE,2022-01-20,Northern Kentucky,H
J. Ahale,G,27,3,4,3,4,0,0,0,1,1,1,0,1,0,2,9,FALSE,2022-01-20,Northern Kentucky,H
TEAM,NA,NA,26,67,13,35,5,7,11,25,36,19,5,7,15,16,70,FALSE,2022-01-20,Northern Kentucky,H
