player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
K. Thompson,F,23,1,4,0,0,1,2,2,4,6,0,0,0,0,1,3,TRUE,2021-12-16,UMBC,A
M. Abdulsalam,F,18,4,6,0,0,1,3,2,3,5,0,1,0,2,4,9,TRUE,2021-12-16,UMBC,A
K. Langley,G,32,3,7,2,4,2,2,2,2,4,3,0,0,2,0,10,TRUE,2021-12-16,UMBC,A
D. Treacy,G,28,3,8,0,3,1,1,0,1,1,1,2,0,1,1,7,TRUE,2021-12-16,UMBC,A
D. Buckingham,G,28,3,7,3,6,2,2,1,5,6,2,0,0,4,1,11,TRUE,2021-12-16,UMBC,A
J. White,F,8,0,2,0,0,0,0,0,4,4,2,0,0,1,1,0,FALSE,2021-12-16,UMBC,A
B. Leyte,F,16,1,5,0,2,4,6,1,2,3,0,1,0,0,2,6,FALSE,2021-12-16,UMBC,A
M. Jones,F,11,1,3,0,1,0,1,2,1,3,0,1,1,1,1,2,FALSE,2021-12-16,UMBC,A
J.C. Tharrington,G,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,FALSE,2021-12-16,UMBC,A
K. Langley,G,12,3,5,1,3,0,0,0,0,0,1,0,0,0,3,7,FALSE,2021-12-16,UMBC,A
K. Hunter,G,18,3,6,1,4,0,0,0,3,3,0,1,0,0,0,7,FALSE,2021-12-16,UMBC,A
TEAM,NA,NA,22,53,7,23,11,17,12,25,37,9,6,1,12,15,62,FALSE,2021-12-16,UMBC,A
