player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
J. Martinez,F,35,6,14,4,8,0,1,1,2,3,0,0,0,1,0,16,TRUE,2021-12-08,Bryant,A
T. Mattos,C,24,3,7,0,0,0,2,3,2,5,1,0,0,0,3,6,TRUE,2021-12-08,Bryant,A
B. Tchoukuiegno,G,29,3,7,1,2,0,0,1,3,4,3,2,1,1,3,7,TRUE,2021-12-08,Bryant,A
N. Johnson,G,20,2,4,1,2,2,4,1,2,3,2,1,0,0,1,7,TRUE,2021-12-08,Bryant,A
J. Hopkins,G,26,1,3,1,3,0,0,0,1,1,1,0,0,2,2,3,TRUE,2021-12-08,Bryant,A
S. Seymour,F,22,4,10,2,7,0,0,1,1,2,0,0,0,0,0,10,FALSE,2021-12-08,Bryant,A
C. Lester,F,8,0,2,0,1,0,0,0,0,0,0,0,0,1,1,0,FALSE,2021-12-08,Bryant,A
M. Foster,G,21,2,6,1,4,0,0,0,3,3,2,0,0,1,2,5,FALSE,2021-12-08,Bryant,A
Q. Murphy,G,15,2,6,0,1,1,2,0,3,3,1,1,0,0,0,5,FALSE,2021-12-08,Bryant,A
TEAM,NA,NA,23,59,10,28,3,9,8,17,25,10,4,1,6,12,59,FALSE,2021-12-08,Bryant,A
