player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
J. Pleasant,F,16,1,3,0,1,1,1,0,2,2,0,0,0,0,0,3,TRUE,2022-02-17,Cincinnati,A
M. Udeze,F,25,5,10,0,0,3,6,5,2,7,1,0,1,1,3,13,TRUE,2022-02-17,Cincinnati,A
C. Porter Jr.,G,29,3,8,0,2,3,4,1,7,8,6,0,1,2,2,9,TRUE,2022-02-17,Cincinnati,A
T. Etienne,G,29,6,14,1,5,1,3,0,1,1,1,0,0,2,1,14,TRUE,2022-02-17,Cincinnati,A
D. Dennis,G,38,5,10,2,4,2,2,1,1,2,0,1,0,0,0,14,TRUE,2022-02-17,Cincinnati,A
C. Jackson,F,12,0,2,0,1,0,0,3,2,5,0,0,0,1,1,0,FALSE,2022-02-17,Cincinnati,A
K. Pohto,F,11,1,5,0,2,1,2,2,2,4,1,1,0,0,2,3,FALSE,2022-02-17,Cincinnati,A
Q. Grant,G,5,1,1,1,1,0,0,0,1,1,1,1,0,1,1,3,FALSE,2022-02-17,Cincinnati,A
C. Jenkins,G,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,FALSE,2022-02-17,Cincinnati,A
R. Council IV,G,30,7,12,1,2,2,2,3,1,4,2,4,0,2,2,17,FALSE,2022-02-17,Cincinnati,A
TEAM,NA,NA,29,65,5,18,13,20,16,21,37,12,7,2,10,12,76,FALSE,2022-02-17,Cincinnati,A
