game_id,date,opponent,location,team_score,opp_score,record
401364998,2021-11-10,Hope,H,76,58,1-0 (0-0)
401365000,2021-11-12,Michigan State,A,46,90,1-1 (0-0)
401365012,2021-11-18,Saginaw Valley,H,63,80,1-2 (0-0)
401365022,2021-11-22,Iowa,A,61,109,1-3 (0-0)
401365031,2021-11-26,Florida Gulf Coast,A,67,77,1-4 (0-0)
401365034,2021-11-27,Purdue Fort Wayne,N,93,85,2-4 (0-0)
401365035,2021-11-28,SE Louisiana,N,81,77,3-4 (0-0)
401365050,2021-12-05,Valparaiso,H,60,71,3-5 (0-0)
401365058,2021-12-11,Detroit Mercy,A,64,83,3-6 (0-0)
401365066,2021-12-17,Aquinas College,H,67,56,4-6 (0-0)
401365074,2021-12-20,Notre Dame,A,52,85,4-7 (0-0)
401365081,2021-12-29,Toledo,A,56,83,4-8 (0-1)
401365085,2022-01-01,Ohio,H,47,59,4-9 (0-2)
401365091,2022-01-04,Eastern Michigan,H,79,85,4-10 (0-3)
401365105,2022-01-11,Buffalo,H,64,78,4-11 (0-4)
401365110,2022-01-15,Miami OH,H,62,70,4-12 (0-5)
401365118,2022-01-18,Akron,A,73,74,4-13 (0-6)
401365123,2022-01-22,Bowling Green,H,75,82,4-14 (0-7)
401365129,2022-01-25,Kent State,A,64,75,4-15 (0-8)
401365135,2022-01-29,Ball State,A,72,83,4-16 (0-9)
401365144,2022-02-01,Northern Illinois,H,56,75,4-17 (0-10)
401410513,2022-02-03,Central Michigan,A,55,65,4-18 (0-11)
401365149,2022-02-05,Ohio,A,64,77,4-19 (0-12)
401365153,2022-02-08,Miami OH,A,57,62,4-20 (0-13)
401365161,2022-02-12,Central Michigan,H,77,63,5-20 (1-13)
401365167,2022-02-15,Akron,H,61,57,6-20 (2-13)
401365172,2022-02-19,Buffalo,A,73,87,6-21 (2-14)
401365176,2022-02-22,Toledo,H,50,92,6-22 (2-15)
401365182,2022-02-26,Bowling Green,A,78,67,7-22 (3-15)
401365192,2022-03-01,Eastern Michigan,A,71,60,8-22 (4-15)
401365194,2022-03-04,Ball State,H,63,64,8-23 (4-16)
