player_id,player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,team,opponent,home,starter,date,location
4702376,C. Osten,F,26,5,5,0,0,1,2,2,2,4,2,0,0,3,4,11,IUPUI,Cleveland State,TRUE,TRUE,2023-01-14,H
5106760,DJ Jackson,G,16,3,4,0,0,3,4,0,0,0,2,1,0,0,0,9,IUPUI,Cleveland State,TRUE,TRUE,2023-01-14,H
5106755,V. Brady II,G,33,2,7,1,5,0,0,2,3,5,0,1,0,1,2,5,IUPUI,Cleveland State,TRUE,TRUE,2023-01-14,H
5106754,J. Counter,G,29,3,9,0,3,0,0,1,2,3,6,0,0,7,3,6,IUPUI,Cleveland State,TRUE,TRUE,2023-01-14,H
4898073,B. Stanton III,G,14,0,3,0,2,0,0,1,2,3,0,1,0,0,0,0,IUPUI,Cleveland State,TRUE,TRUE,2023-01-14,H
5106756,J. Egbuta,F,19,6,10,2,2,1,2,0,3,3,0,0,0,1,2,15,IUPUI,Cleveland State,TRUE,FALSE,2023-01-14,H
4702711,J. Carrasco,F,15,0,2,0,0,1,2,1,1,2,1,0,2,0,1,1,IUPUI,Cleveland State,TRUE,FALSE,2023-01-14,H
5106762,C. Crane,G,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,IUPUI,Cleveland State,TRUE,FALSE,2023-01-14,H
5106759,Ar. Jarrard,G,26,3,10,1,6,0,0,1,1,2,2,0,0,2,2,7,IUPUI,Cleveland State,TRUE,FALSE,2023-01-14,H
5106758,C. Dewitt,G,5,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,IUPUI,Cleveland State,TRUE,FALSE,2023-01-14,H
4898072,D. Petersen,G,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IUPUI,Cleveland State,TRUE,FALSE,2023-01-14,H
4404202,M. Taylor,G,11,0,3,0,3,0,0,0,0,0,0,1,0,1,0,0,IUPUI,Cleveland State,TRUE,FALSE,2023-01-14,H
NA,TEAM,NA,NA,22,55,4,22,6,10,11,18,29,13,5,2,19,14,54,IUPUI,Cleveland State,TRUE,FALSE,2023-01-14,H
