player_id,player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,team,opponent,home,starter,date,location
4898271,K. Thompson,F,18,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,Maryland-Eastern Shore,Norfolk State,FALSE,TRUE,2023-01-07,A
4704102,N. Pollard Jr.,F,23,1,4,0,0,3,4,1,4,5,2,0,0,0,3,5,Maryland-Eastern Shore,Norfolk State,FALSE,TRUE,2023-01-07,A
4702949,A. Fofana,G,24,1,5,0,2,0,0,1,2,3,1,4,0,3,2,2,Maryland-Eastern Shore,Norfolk State,FALSE,TRUE,2023-01-07,A
4593381,D. Phillip,G,29,3,8,1,6,2,2,2,1,3,1,0,0,1,1,9,Maryland-Eastern Shore,Norfolk State,FALSE,TRUE,2023-01-07,A
4593380,K. Voyles,G,27,3,9,3,7,0,0,0,5,5,0,1,1,2,3,9,Maryland-Eastern Shore,Norfolk State,FALSE,TRUE,2023-01-07,A
5108778,T. Hupstead,F,17,4,7,0,1,2,4,2,2,4,1,1,0,1,2,10,Maryland-Eastern Shore,Norfolk State,FALSE,FALSE,2023-01-07,A
5108775,D. Johnson,G,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Maryland-Eastern Shore,Norfolk State,FALSE,FALSE,2023-01-07,A
4898269,C. Davis,G,16,0,4,0,3,1,2,2,2,4,1,0,0,1,1,1,Maryland-Eastern Shore,Norfolk State,FALSE,FALSE,2023-01-07,A
4704099,Z. Styles,G,22,1,5,0,2,2,4,0,1,1,0,1,0,4,2,4,Maryland-Eastern Shore,Norfolk State,FALSE,FALSE,2023-01-07,A
4704097,D. Nugent,G,9,1,2,1,2,0,0,0,0,0,1,2,0,2,1,3,Maryland-Eastern Shore,Norfolk State,FALSE,FALSE,2023-01-07,A
4593382,G. Anderson,G,11,1,1,1,1,0,0,0,0,0,1,2,0,0,0,3,Maryland-Eastern Shore,Norfolk State,FALSE,FALSE,2023-01-07,A
NA,TEAM,NA,NA,15,51,6,28,10,16,9,18,27,8,11,1,14,15,46,Maryland-Eastern Shore,Norfolk State,FALSE,FALSE,2023-01-07,A
