player_id,player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,team,opponent,home,starter,date,location
4898339,AJ Clayton,F,27,1,11,0,7,0,0,4,3,7,1,1,1,2,1,2,Ohio,Michigan,FALSE,TRUE,2022-11-20,A
4279213,D. Wilson III,F,34,10,19,0,0,1,1,2,7,9,0,0,1,0,2,21,Ohio,Michigan,FALSE,TRUE,2022-11-20,A
4593449,M. Brown,G,39,4,14,3,7,0,0,3,6,9,4,1,0,0,2,11,Ohio,Michigan,FALSE,TRUE,2022-11-20,A
4592875,J. Hunter,G,36,6,11,2,5,0,0,1,5,6,5,2,0,2,2,14,Ohio,Michigan,FALSE,TRUE,2022-11-20,A
4397802,D. Baker,G,38,2,11,0,4,1,2,1,4,5,4,2,0,0,3,5,Ohio,Michigan,FALSE,TRUE,2022-11-20,A
5108011,A. Hadaway,F,8,1,1,0,0,0,2,2,0,2,0,0,0,0,2,2,Ohio,Michigan,FALSE,FALSE,2022-11-20,A
4593447,B. Roderick,F,28,2,9,2,5,0,1,1,1,2,0,0,0,0,3,6,Ohio,Michigan,FALSE,FALSE,2022-11-20,A
4684205,G. Wiznitzer,C,11,1,1,0,0,2,2,0,1,1,0,0,0,2,4,4,Ohio,Michigan,FALSE,FALSE,2022-11-20,A
5108009,A. Sheldon,G,4,0,0,0,0,1,3,0,1,1,0,0,0,0,0,1,Ohio,Michigan,FALSE,FALSE,2022-11-20,A
NA,TEAM,NA,NA,27,77,7,28,5,11,19,30,49,14,6,2,8,19,66,Ohio,Michigan,FALSE,FALSE,2022-11-20,A
