player_id,player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,team,opponent,home,starter,date,location
4432169,J. Brakefield,F,37,5,7,1,2,7,7,2,2,4,1,1,0,7,3,18,Ole Miss,Missouri,FALSE,TRUE,2023-03-04,A
4405309,M. Burns,F,33,4,7,1,3,2,2,5,6,11,4,3,0,4,3,11,Ole Miss,Missouri,FALSE,TRUE,2023-03-04,A
4398245,R. Allen,F,28,4,5,2,2,0,0,0,5,5,4,1,0,2,4,10,Ole Miss,Missouri,FALSE,TRUE,2023-03-04,A
4702442,M. Murrell,G,39,4,14,1,8,3,3,1,3,4,4,3,0,0,1,12,Ole Miss,Missouri,FALSE,TRUE,2023-03-04,A
4683641,J. White,G,27,7,10,0,2,0,1,0,2,2,0,0,0,1,2,14,Ole Miss,Missouri,FALSE,TRUE,2023-03-04,A
4403417,J. McKinnis,F,8,1,3,0,0,0,0,1,1,2,0,0,0,0,0,2,Ole Miss,Missouri,FALSE,FALSE,2023-03-04,A
5105545,TJ Caldwell,G,15,3,7,0,3,2,3,0,1,1,0,0,0,1,2,8,Ole Miss,Missouri,FALSE,FALSE,2023-03-04,A
5105544,A. Abram,G,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,Ole Miss,Missouri,FALSE,FALSE,2023-03-04,A
4395719,T. Fagan,G,9,0,2,0,2,2,2,0,0,0,1,0,0,0,0,2,Ole Miss,Missouri,FALSE,FALSE,2023-03-04,A
NA,TEAM,NA,NA,28,55,5,22,16,18,9,20,29,14,8,0,16,16,77,Ole Miss,Missouri,FALSE,FALSE,2023-03-04,A
