player_id,player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,team,opponent,home,starter,date,location
5108804,Z. Griffin,F,29,0,4,0,1,0,0,0,5,5,1,0,0,1,2,0,Tennessee State,Southern Indiana,FALSE,TRUE,2023-02-02,A
4703525,A. Makuoi,C,28,5,7,0,0,0,2,3,4,7,0,1,2,1,3,10,Tennessee State,Southern Indiana,FALSE,TRUE,2023-02-02,A
4703415,M. Fitzgerald Jr.,G,34,5,13,4,6,3,4,0,2,2,3,0,0,1,5,17,Tennessee State,Southern Indiana,FALSE,TRUE,2023-02-02,A
4398376,Jr. Clay,G,37,5,11,2,4,11,15,1,9,10,6,0,0,6,3,23,Tennessee State,Southern Indiana,FALSE,TRUE,2023-02-02,A
4279854,D. Boyd,G,27,7,10,5,6,0,0,0,2,2,0,0,0,0,3,19,Tennessee State,Southern Indiana,FALSE,TRUE,2023-02-02,A
4897310,D. Acosta,F,6,0,1,0,0,0,0,1,1,2,0,0,0,0,0,0,Tennessee State,Southern Indiana,FALSE,FALSE,2023-02-02,A
4703524,Z. Kueth,F,26,4,5,3,4,0,3,0,2,2,0,1,1,0,0,11,Tennessee State,Southern Indiana,FALSE,FALSE,2023-02-02,A
5108805,J. Williams,G,10,0,3,0,1,0,0,0,1,1,1,1,0,0,0,0,Tennessee State,Southern Indiana,FALSE,FALSE,2023-02-02,A
4897309,E. Riggs Abner,G,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Tennessee State,Southern Indiana,FALSE,FALSE,2023-02-02,A
NA,TEAM,NA,NA,26,54,14,22,14,24,6,30,36,11,3,3,11,17,80,Tennessee State,Southern Indiana,FALSE,FALSE,2023-02-02,A
