player_id,player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,team,opponent,home,starter,date,location
4397396,C. Anigwe,F,18,2,6,0,2,2,4,2,4,6,0,1,0,4,3,6,UC Davis,UC Riverside,FALSE,TRUE,2023-03-09,N
4897472,Ty Johnson,G,24,2,9,0,0,3,4,0,4,4,2,1,0,4,1,7,UC Davis,UC Riverside,FALSE,TRUE,2023-03-09,N
4593062,K. Milling,G,26,0,3,0,2,0,0,2,1,3,0,1,1,2,0,0,UC Davis,UC Riverside,FALSE,TRUE,2023-03-09,N
4432435,R. Beasley III,G,32,1,4,1,4,0,0,1,2,3,1,0,0,0,1,3,UC Davis,UC Riverside,FALSE,TRUE,2023-03-09,N
4432077,E. Pepper,G,39,7,18,0,5,8,8,0,3,3,1,3,1,2,0,22,UC Davis,UC Riverside,FALSE,TRUE,2023-03-09,N
4702596,N. Rocak,F,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UC Davis,UC Riverside,FALSE,FALSE,2023-03-09,N
4702344,F. Borra,F,12,0,0,0,0,1,2,0,1,1,2,0,0,2,2,1,UC Davis,UC Riverside,FALSE,FALSE,2023-03-09,N
4897674,S. Lose,G,10,1,2,0,0,0,0,1,1,2,0,0,0,0,2,2,UC Davis,UC Riverside,FALSE,FALSE,2023-03-09,N
4897673,L. DeBruhl,G,25,3,8,0,3,1,2,3,4,7,1,1,0,1,2,7,UC Davis,UC Riverside,FALSE,FALSE,2023-03-09,N
4592953,A. Adebayo,G,13,2,3,0,0,0,0,0,2,2,0,0,1,2,2,4,UC Davis,UC Riverside,FALSE,FALSE,2023-03-09,N
NA,TEAM,NA,NA,18,53,1,16,15,20,11,26,37,7,7,3,17,13,52,UC Davis,UC Riverside,FALSE,FALSE,2023-03-09,N
