player_id,player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,team,opponent,home,starter,date,location
5107607,J. Myers,F,23,5,9,0,3,5,6,1,6,7,2,2,2,2,3,15,UT Martin,Little Rock,TRUE,TRUE,2023-02-11,H
4897331,C. Nix,F,28,0,3,0,0,3,4,3,5,8,1,1,1,1,1,3,UT Martin,Little Rock,TRUE,TRUE,2023-02-11,H
4702063,J. Sears,G,29,5,7,1,2,1,2,0,3,3,4,1,0,2,1,12,UT Martin,Little Rock,TRUE,TRUE,2023-02-11,H
4397710,KJ Simon,G,32,6,12,1,2,1,2,0,5,5,2,1,0,1,1,14,UT Martin,Little Rock,TRUE,TRUE,2023-02-11,H
4278013,P. Stewart,G,30,7,15,4,8,0,0,0,5,5,3,1,0,4,1,18,UT Martin,Little Rock,TRUE,TRUE,2023-02-11,H
4592295,J. Endicott,F,12,1,1,0,0,2,2,1,3,4,1,0,1,2,1,4,UT Martin,Little Rock,TRUE,FALSE,2023-02-11,H
4431933,KK Curry,F,17,3,5,0,1,2,2,2,5,7,0,0,0,0,1,8,UT Martin,Little Rock,TRUE,FALSE,2023-02-11,H
4897333,D. Pumpian,G,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,UT Martin,Little Rock,TRUE,FALSE,2023-02-11,H
4623861,K. Jeffries,G,11,1,4,0,2,0,0,0,1,1,2,0,0,1,0,2,UT Martin,Little Rock,TRUE,FALSE,2023-02-11,H
4593930,D. Williams,G,17,2,7,1,5,3,3,0,5,5,1,0,0,0,1,8,UT Martin,Little Rock,TRUE,FALSE,2023-02-11,H
NA,TEAM,NA,NA,30,65,7,25,17,21,8,40,48,16,6,4,13,10,84,UT Martin,Little Rock,TRUE,FALSE,2023-02-11,H
