player_id,number,name,position,height,weight,class,hometown,player_image
5105527,0,Myreon Jones,G,"6' 3""",177 lbs,SR,"Birmingham, AL",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4397238.png
4703868,1,CJ Felder,F,"6' 7""",240 lbs,SR,"Sumter, SC",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4592180.png
4397204,2,Trey Bonham,G,"6' 0""",170 lbs,JR,"Mobile, AL",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4703868.png
4592180,3,Alex Fudge,F,"6' 9""",194 lbs,SO,"Jacksonville, FL",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4896481.png
4896481,4,Niels Lane,G,"6' 5""",215 lbs,JR,"Freehold, NJ",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4565449.png
4431788,5,Will Richard,G,"6' 4""",206 lbs,SO,"Fairburn, GA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4897262.png
4397238,10,Denzel Aberdeen,G,"6' 5""",189 lbs,FR,"Orlando, FL",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5105527.png
4432023,11,Kyle Lofton,G,"6' 3""",186 lbs,SR,"Hillside, NJ",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4397220.png
5105529,12,Colin Castleton,F,"6' 11""",240 lbs,SR,"Deland, FL",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4397204.png
4565449,13,Aleks Szymczyk,F,"6' 10""",233 lbs,FR,"Frankfurt, Germany",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5105528.png
4397220,14,Kowacie Reeves,G,"6' 6""",190 lbs,SO,"Macon, GA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4683757.png
4702252,20,Jack May,G,"6' 4""",195 lbs,SO,"Boca Raton, FL",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4702252.png
4683757,21,Alex Klatsky,G,"6' 4""",206 lbs,JR,"Colts Neck, NJ",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4432023.png
4897262,24,Riley Kugel,G,"6' 5""",207 lbs,FR,"Orlando, FL",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5105529.png
5105528,33,Jason Jitoboh,C,"6' 11""",300 lbs,SR,"Abuja, Nigeria",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4431788.png
