game_id,date,opponent,location,team_score,opp_score,record
401491815,2022-11-07,Wilmington DE,H,78,54,1-0 (0-0)
401487276,2022-11-11,Air Force,A,71,75,1-1 (0-0)
401482909,2022-11-18,Duke,A,58,92,1-2 (0-0)
401488216,2022-11-25,Colgate,N,72,68,2-2 (0-0)
401488217,2022-11-26,Hartford,N,78,50,3-2 (0-0)
401487455,2022-11-27,Pennsylvania,A,73,86,3-3 (0-0)
401490513,2022-12-01,Cornell,H,67,74,3-4 (0-0)
401491794,2022-12-03,Davidson,H,69,67,4-4 (0-0)
401490467,2022-12-07,Delaware State,H,77,69,5-4 (0-0)
401491816,2022-12-11,Siena,H,75,64,6-4 (0-0)
401491817,2022-12-16,Princeton,A,76,69,7-4 (0-0)
401491818,2022-12-19,Rider,A,60,59,8-4 (0-0)
401491819,2022-12-21,Ohio,H,NA,NA,
401469858,2022-12-29,Hofstra,H,NA,NA,CBSSN
401469865,2022-12-31,Elon,H,NA,NA,
401469877,2023-01-07,Charleston,A,NA,NA,
401469881,2023-01-11,Towson,H,NA,NA,
401469889,2023-01-14,Hofstra,A,NA,NA,
401469893,2023-01-16,Northeastern,A,NA,NA,
401469899,2023-01-19,William & Mary,H,NA,NA,
401469902,2023-01-21,Drexel,A,NA,NA,
401469913,2023-01-26,Hampton,A,NA,NA,
401469914,2023-01-28,Northeastern,H,NA,NA,
401469920,2023-02-02,Monmouth,A,NA,NA,
401469929,2023-02-04,Charleston,H,NA,NA,
401469933,2023-02-08,Drexel,H,NA,NA,
401469944,2023-02-13,Stony Brook,H,NA,NA,
401469950,2023-02-16,Towson,A,NA,NA,
401469960,2023-02-18,UNC Wilmington,H,NA,NA,
401469964,2023-02-23,North Carolina A&T,A,NA,NA,
401489626,2023-02-25,Elon,A,NA,NA,
