game_id,date,opponent,location,team_score,opp_score,record
401483383,2022-11-07,Chicago State,H,85,54,1-0 (0-0)
401483384,2022-11-11,Northern Illinois,H,63,46,2-0 (0-0)
401479697,2022-11-15,Georgetown,A,75,63,3-0 (0-0)
401483385,2022-11-18,Purdue Fort Wayne,H,60,52,4-0 (0-0)
401483386,2022-11-22,Liberty,N,66,52,5-0 (0-0)
401486399,2022-11-23,Auburn,N,42,43,5-1 (0-0)
401479671,2022-11-28,Pittsburgh,H,58,87,5-2 (0-0)
401484835,2022-12-04,Michigan State,A,70,63,6-2 (1-0)
401483387,2022-12-11,Prairie View A&M,H,61,51,7-2 (1-0)
401483388,2022-12-17,DePaul,H,83,45,8-2 (1-0)
401483389,2022-12-20,UIC,H,92,54,9-2 (1-0)
401483390,2022-12-29,Brown,H,NA,NA,BTN
401484847,2023-01-01,Ohio State,H,NA,NA,BTN
401484872,2023-01-04,Illinois,H,NA,NA,
401484881,2023-01-08,Indiana,A,NA,NA,
401484886,2023-01-11,Rutgers,H,NA,NA,
401484893,2023-01-15,Michigan,A,NA,NA,
401484899,2023-01-18,Iowa,A,NA,NA,
401484907,2023-01-21,Wisconsin,H,NA,NA,
401484913,2023-01-24,Nebraska,A,NA,NA,
401484920,2023-01-28,Minnesota,H,NA,NA,
401484929,2023-02-02,Michigan,H,NA,NA,
401484936,2023-02-05,Wisconsin,A,NA,NA,
401484943,2023-02-09,Ohio State,A,NA,NA,
401484951,2023-02-12,Purdue,H,NA,NA,
401484955,2023-02-15,Indiana,H,NA,NA,
401484963,2023-02-19,Iowa,H,NA,NA,
401484969,2023-02-23,Illinois,A,NA,NA,
401484975,2023-02-26,Maryland,A,NA,NA,
401484982,2023-03-01,Penn State,H,NA,NA,
401483057,2023-03-05,Rutgers,A,NA,NA,
