player_id,player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,team,opponent,home,starter,date,location
5105982,D. Rivera,F,27,3,11,0,1,0,0,1,5,6,3,1,1,3,4,6,Bryant,Xavier,FALSE,TRUE,2023-11-24,A
4592914,C. Withers,F,29,3,6,1,4,0,0,1,1,2,8,5,0,0,4,7,Bryant,Xavier,FALSE,TRUE,2023-11-24,A
4606833,T. Brelsford,G,18,1,4,0,3,2,3,0,2,2,1,0,0,1,1,4,Bryant,Xavier,FALSE,TRUE,2023-11-24,A
4432193,E. Timberlake,G,33,3,5,0,0,0,0,1,6,7,5,1,0,4,3,6,Bryant,Xavier,FALSE,TRUE,2023-11-24,A
4431790,S. Gross-Bullock,G,33,7,18,4,13,1,1,0,2,2,3,0,0,5,1,19,Bryant,Xavier,FALSE,TRUE,2023-11-24,A
5174851,K. Mitchell,F,2,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,Bryant,Xavier,FALSE,FALSE,2023-11-24,A
5174850,A. Davis,G,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,Bryant,Xavier,FALSE,FALSE,2023-11-24,A
5107100,T. Rochelle,G,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Bryant,Xavier,FALSE,FALSE,2023-11-24,A
4683951,R. Pinzon,G,25,7,15,4,8,0,0,1,1,2,1,0,1,2,1,18,Bryant,Xavier,FALSE,FALSE,2023-11-24,A
4593264,T. Kiggins,G,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bryant,Xavier,FALSE,FALSE,2023-11-24,A
4432977,D. Edert,G,11,4,5,2,3,3,3,0,1,1,1,0,0,0,0,13,Bryant,Xavier,FALSE,FALSE,2023-11-24,A
4396584,M. Latimer,G,16,1,3,0,1,0,1,2,1,3,2,1,0,2,1,2,Bryant,Xavier,FALSE,FALSE,2023-11-24,A
NA,TEAM,NA,NA,29,69,11,34,6,8,6,25,31,24,8,2,18,16,75,Bryant,Xavier,FALSE,FALSE,2023-11-24,A
