player_id,player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,team,opponent,home,starter,date,location
4593409,D. Skogman,F,29,4,8,1,4,1,1,1,4,5,1,0,0,3,1,10,Davidson,South Carolina Upstate,TRUE,TRUE,2023-12-21,H
5105865,R. Bailey,G,33,3,7,1,2,2,2,1,2,3,2,0,0,0,2,9,Davidson,South Carolina Upstate,TRUE,TRUE,2023-12-21,H
4684022,A. Brizzi,G,17,1,3,0,1,2,3,0,2,2,1,2,0,0,1,4,Davidson,South Carolina Upstate,TRUE,TRUE,2023-12-21,H
4585606,C. Kochera,G,34,3,12,2,9,2,2,2,4,6,0,0,0,1,0,10,Davidson,South Carolina Upstate,TRUE,TRUE,2023-12-21,H
4432522,G. Huffman,G,38,5,9,0,2,4,6,0,4,4,5,1,0,0,3,14,Davidson,South Carolina Upstate,TRUE,TRUE,2023-12-21,H
5174568,B. Durkin,F,28,4,10,1,5,2,2,1,7,8,0,0,0,1,0,11,Davidson,South Carolina Upstate,TRUE,FALSE,2023-12-21,H
5105866,S. Logan,F,10,0,0,0,0,1,2,0,0,0,0,0,1,1,1,1,Davidson,South Carolina Upstate,TRUE,FALSE,2023-12-21,H
5174570,H. Adam,G,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,Davidson,South Carolina Upstate,TRUE,FALSE,2023-12-21,H
5105867,A. Spadone,G,9,1,2,1,2,0,2,1,1,2,1,1,0,0,0,3,Davidson,South Carolina Upstate,TRUE,FALSE,2023-12-21,H
NA,TEAM,NA,NA,21,51,6,25,14,20,9,25,34,10,4,1,8,8,62,Davidson,South Carolina Upstate,TRUE,FALSE,2023-12-21,H
