player_id,player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,team,opponent,home,starter,date,location
4702745,A. Williams,F,30,6,13,0,0,2,6,4,7,11,2,1,2,2,2,14,Drexel,Delaware,FALSE,TRUE,2024-02-26,A
4593352,L. Monroe,F,25,6,7,1,1,0,1,2,4,6,0,2,0,1,2,13,Drexel,Delaware,FALSE,TRUE,2024-02-26,A
4592777,M. Okros,F,20,1,2,1,2,1,2,0,0,0,1,2,0,1,2,4,Drexel,Delaware,FALSE,TRUE,2024-02-26,A
5105780,J. Moore,G,32,8,15,2,5,2,2,0,4,4,4,0,0,1,3,20,Drexel,Delaware,FALSE,TRUE,2024-02-26,A
4702744,L. House,G,36,1,5,0,4,0,0,1,3,4,2,1,0,2,3,2,Drexel,Delaware,FALSE,TRUE,2024-02-26,A
5105781,G. Turner,F,10,0,2,0,0,0,0,1,2,3,0,0,0,0,3,0,Drexel,Delaware,FALSE,FALSE,2024-02-26,A
5105779,K. MaGee,G,18,2,6,0,2,0,0,1,1,2,1,0,0,1,0,4,Drexel,Delaware,FALSE,FALSE,2024-02-26,A
5105778,S. Blakeney,G,5,1,2,1,2,1,2,0,0,0,0,0,0,0,0,4,Drexel,Delaware,FALSE,FALSE,2024-02-26,A
4702658,J. Bergens,G,12,2,3,1,1,0,0,0,0,0,1,0,1,2,3,5,Drexel,Delaware,FALSE,FALSE,2024-02-26,A
4700880,Y. Butler,G,12,2,3,0,0,0,0,1,3,4,0,0,0,1,1,4,Drexel,Delaware,FALSE,FALSE,2024-02-26,A
NA,TEAM,NA,NA,29,58,6,17,6,13,11,25,36,11,6,3,11,19,70,Drexel,Delaware,FALSE,FALSE,2024-02-26,A
