player_id,player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,team,opponent,home,starter,date,location
4699440,N. Davidson,F,29,3,7,1,5,1,2,0,7,7,0,0,1,0,0,8,Nevada,Drake,TRUE,TRUE,2023-12-09,N
4433217,T. Coleman,F,25,1,6,0,2,0,0,1,3,4,1,0,0,5,2,2,Nevada,Drake,TRUE,TRUE,2023-12-09,N
4397343,K.J. Hymes,F,20,3,6,0,0,3,5,3,0,3,0,0,0,1,2,9,Nevada,Drake,TRUE,TRUE,2023-12-09,N
4592846,K. Blackshear,G,28,4,5,0,0,0,3,1,6,7,3,1,0,5,2,8,Nevada,Drake,TRUE,TRUE,2023-12-09,N
4431765,J. Lucas,G,30,3,11,2,8,2,2,0,1,1,0,0,0,2,2,10,Nevada,Drake,TRUE,TRUE,2023-12-09,N
4703196,J. Coleman,F,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Nevada,Drake,TRUE,FALSE,2023-12-09,N
4685682,J. Gardner,C,3,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,Nevada,Drake,TRUE,FALSE,2023-12-09,N
5176227,A. Robinson,G,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Nevada,Drake,TRUE,FALSE,2023-12-09,N
4845370,T. Rolison,G,17,3,5,3,4,1,4,0,6,6,1,0,0,1,3,10,Nevada,Drake,TRUE,FALSE,2023-12-09,N
4702876,D. Foster,G,22,1,7,0,3,2,2,0,6,6,3,1,1,3,1,4,Nevada,Drake,TRUE,FALSE,2023-12-09,N
4592948,H. McIntosh,G,18,1,3,0,2,0,0,1,1,2,0,0,0,0,2,2,Nevada,Drake,TRUE,FALSE,2023-12-09,N
NA,TEAM,NA,NA,19,51,6,25,9,18,8,30,38,9,2,3,19,15,53,Nevada,Drake,TRUE,FALSE,2023-12-09,N
