player_id,player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,team,opponent,home,starter,date,location
4398275,I. Bigelow,F,29,3,10,2,7,1,2,0,3,3,1,0,0,0,3,9,Richmond,VCU,FALSE,TRUE,2024-02-03,A
4593100,N. Quinn,C,33,4,10,0,0,1,1,3,6,9,6,0,2,3,3,9,Richmond,VCU,FALSE,TRUE,2024-02-03,A
4703199,D. Hunt,G,37,5,12,0,4,2,3,0,3,3,2,2,0,0,4,12,Richmond,VCU,FALSE,TRUE,2024-02-03,A
4700974,D. Bailey,G,37,3,5,0,0,4,4,0,6,6,2,2,0,2,2,10,Richmond,VCU,FALSE,TRUE,2024-02-03,A
4593372,J. King,G,34,3,9,1,5,5,7,0,2,2,1,2,0,1,4,12,Richmond,VCU,FALSE,TRUE,2024-02-03,A
4593721,T. Harris,F,5,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,Richmond,VCU,FALSE,FALSE,2024-02-03,A
5105974,M. Walz,C,7,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,Richmond,VCU,FALSE,FALSE,2024-02-03,A
5174629,M. Tyne,G,7,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,Richmond,VCU,FALSE,FALSE,2024-02-03,A
4897373,J. Roche,G,11,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0,Richmond,VCU,FALSE,FALSE,2024-02-03,A
NA,TEAM,NA,NA,18,51,3,18,13,17,3,24,27,12,6,2,11,19,52,Richmond,VCU,FALSE,FALSE,2024-02-03,A
