player_id,player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,team,opponent,home,starter,date,location
4897306,A. Larson,F,25,2,4,0,1,0,0,1,2,3,0,0,2,0,3,4,Southeast Missouri State,Tennessee Tech,TRUE,TRUE,2024-02-08,H
4432974,J. Earley,F,27,7,10,0,0,0,0,2,6,8,4,0,1,1,1,14,Southeast Missouri State,Tennessee Tech,TRUE,TRUE,2024-02-08,H
5107904,R. Martin,G,25,6,13,2,4,2,2,0,1,1,3,1,1,2,2,16,Southeast Missouri State,Tennessee Tech,TRUE,TRUE,2024-02-08,H
5107891,B. Stacker,G,26,3,6,1,3,4,4,0,3,3,0,1,1,2,2,11,Southeast Missouri State,Tennessee Tech,TRUE,TRUE,2024-02-08,H
5107643,E. Eursher,G,28,6,8,4,5,0,0,0,2,2,2,0,0,0,3,16,Southeast Missouri State,Tennessee Tech,TRUE,TRUE,2024-02-08,H
5107646,M. Hanback,C,2,0,1,0,0,0,0,0,1,1,0,0,0,1,2,0,Southeast Missouri State,Tennessee Tech,TRUE,FALSE,2024-02-08,H
5107642,D. Idada,C,12,3,3,0,0,0,0,1,3,4,1,0,0,1,3,6,Southeast Missouri State,Tennessee Tech,TRUE,FALSE,2024-02-08,H
5177370,M. Bell,G,14,2,6,0,0,0,0,1,2,3,2,0,0,2,2,4,Southeast Missouri State,Tennessee Tech,TRUE,FALSE,2024-02-08,H
5177368,TJ Biel,G,7,2,3,0,0,0,0,1,1,2,0,0,0,0,0,4,Southeast Missouri State,Tennessee Tech,TRUE,FALSE,2024-02-08,H
5177367,BJ Ward,G,29,6,8,1,2,0,0,1,1,2,7,1,0,0,2,13,Southeast Missouri State,Tennessee Tech,TRUE,FALSE,2024-02-08,H
4708175,G. Elkamil,G,5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,Southeast Missouri State,Tennessee Tech,TRUE,FALSE,2024-02-08,H
NA,TEAM,NA,NA,37,62,8,15,6,6,7,23,30,19,3,5,9,20,88,Southeast Missouri State,Tennessee Tech,TRUE,FALSE,2024-02-08,H
