player_id,player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,team,opponent,home,starter,date,location
4833075,G. Taylor Jr.,F,6,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,St. John's,Georgetown,FALSE,TRUE,2024-02-21,A
4592317,J. Soriano,C,30,3,6,0,0,4,6,4,6,10,2,0,3,1,1,10,St. John's,Georgetown,FALSE,TRUE,2024-02-21,A
4431728,C. Ledlum,G,32,5,8,1,2,1,1,2,2,4,2,0,3,2,2,12,St. John's,Georgetown,FALSE,TRUE,2024-02-21,A
5107199,D. Jenkins,G,30,5,8,2,4,3,3,1,2,3,5,1,1,5,3,15,St. John's,Georgetown,FALSE,TRUE,2024-02-21,A
4593351,J. Dingle,G,31,8,13,3,6,3,4,0,4,4,2,2,0,1,3,22,St. John's,Georgetown,FALSE,TRUE,2024-02-21,A
5106262,Z. Ejiofor,F,10,1,1,0,0,1,2,0,2,2,2,0,1,0,2,3,St. John's,Georgetown,FALSE,FALSE,2024-02-21,A
4685659,B. Dunlap,F,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,St. John's,Georgetown,FALSE,FALSE,2024-02-21,A
4684303,D. Traore,F,4,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,St. John's,Georgetown,FALSE,FALSE,2024-02-21,A
5106035,R. Luis,G,25,9,15,0,1,1,3,1,5,6,1,2,0,3,4,19,St. John's,Georgetown,FALSE,FALSE,2024-02-21,A
4683785,S. Wilcher,G,7,2,3,1,1,2,2,0,0,0,1,1,0,0,3,7,St. John's,Georgetown,FALSE,FALSE,2024-02-21,A
4593716,S. Conway,G,11,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,St. John's,Georgetown,FALSE,FALSE,2024-02-21,A
4432934,N. Alleyne,G,12,1,3,0,1,0,0,0,0,0,1,0,0,0,2,2,St. John's,Georgetown,FALSE,FALSE,2024-02-21,A
NA,TEAM,NA,NA,34,59,7,16,15,21,10,24,34,16,6,8,12,20,90,St. John's,Georgetown,FALSE,FALSE,2024-02-21,A
