game_id,date,opponent,location,team_score,opp_score,record
401583589,2023-11-06,The Citadel,H,72,59,1-0 (0-0)
401583590,2023-11-10,Abilene Christian,H,84,64,2-0 (0-0)
401583591,2023-11-17,Charleston Southern,H,87,53,3-0 (0-0)
401582151,2023-11-23,Vanderbilt,N,84,78,4-0 (0-0)
401582153,2023-11-24,BYU,N,86,95,4-1 (0-0)
401574550,2023-11-28,Ole Miss,A,52,72,4-2 (0-0)
401604089,2023-12-02,Boston College,A,84,78,5-2 (1-0)
401583592,2023-12-06,Maryland-Eastern Shore,H,93,61,6-2 (1-0)
401583593,2023-12-12,UT Martin,H,81,67,7-2 (1-0)
401575523,2023-12-16,Tennessee,N,70,79,7-3 (1-0)
401583594,2023-12-20,Saint Louis,H,82,70,8-3 (1-0)
401583595,2023-12-23,Detroit Mercy,H,83,66,9-3 (1-0)
401604104,2024-01-03,Notre Dame,A,54,52,10-3 (2-0)
401604111,2024-01-06,Virginia,H,76,60,11-3 (3-0)
401604117,2024-01-10,North Carolina,H,54,67,11-4 (3-1)
401604122,2024-01-13,Louisville,A,89,83,12-4 (4-1)
401604129,2024-01-16,Wake Forest,H,83,76,13-4 (5-1)
401604139,2024-01-20,Virginia Tech,H,78,84,13-5 (5-2)
401604147,2024-01-24,Virginia,A,53,59,13-6 (5-3)
401604154,2024-01-27,Syracuse,A,65,77,13-7 (5-4)
401604157,2024-01-30,Miami,H,74,68,14-7 (6-4)
401604166,2024-02-03,Georgia Tech,H,82,76,15-7 (7-4)
401604174,2024-02-07,Pittsburgh,H,64,67,15-8 (7-5)
401604177,2024-02-10,Wake Forest,A,79,83,15-9 (7-6)
401604193,2024-02-17,Clemson,A,78,77,16-9 (8-6)
401604200,2024-02-20,Syracuse,H,83,87,16-10 (8-7)
401604207,2024-02-24,Boston College,H,81,70,17-10 (9-7)
401604212,2024-02-27,Florida State,A,83,90,17-11 (9-8)
401604219,2024-03-02,North Carolina,A,70,79,17-12 (9-9)
401604225,2024-03-04,Duke,H,64,79,17-13 (9-10)
401604235,2024-03-09,Pittsburgh,A,73,81,17-14 (9-11)
401625401,2024-03-12,Louisville,N,94,85,18-14 (9-11)
401625405,2024-03-13,Syracuse,N,83,65,19-14 (9-11)
401625409,2024-03-14,Duke,N,74,69,20-14 (9-11)
401625412,2024-03-15,Virginia,N,73,65,21-14 (9-11)
401625413,2024-03-16,North Carolina,N,84,76,22-14 (9-11)
401638594,2024-03-21,Texas Tech,N,80,67,23-14 (9-11)
401638620,2024-03-23,Oakland,N,79,73,24-14 (9-11)
401638637,2024-03-29,Marquette,N,67,58,25-14 (9-11)
401638641,2024-03-31,Duke,N,76,64,26-14 (9-11)
401638643,2024-04-06,Purdue,N,50,63,26-15 (9-11)
