game_id,date,opponent,location,team_score,opp_score,record
401575425,2023-11-06,Tarleton State,H,80,50,1-0 (0-0)
401575426,2023-11-10,Florida,N,73,70,2-0 (0-0)
401575427,2023-11-14,North Carolina A&T,H,80,51,3-0 (0-0)
401575428,2023-11-16,Texas Southern,H,62,33,4-0 (0-0)
401575429,2023-11-20,Wisconsin,N,41,65,4-1 (0-0)
401603134,2023-11-22,West Virginia,N,56,54,5-1 (0-0)
401574553,2023-11-29,Texas A&M,H,59,47,6-1 (0-0)
401604093,2023-12-02,Syracuse,H,84,62,7-1 (1-0)
401575430,2023-12-05,North Carolina Central,H,77,47,8-1 (1-0)
401575431,2023-12-16,Northeastern,H,56,54,9-1 (1-0)
401575432,2023-12-19,Memphis,A,54,77,9-2 (1-0)
401575433,2023-12-27,Morgan State,H,79,44,10-2 (1-0)
401604096,2023-12-30,Notre Dame,A,54,76,10-3 (1-1)
401604105,2024-01-03,Louisville,H,77,53,11-3 (2-1)
401604111,2024-01-06,NC State,A,60,76,11-4 (2-2)
401604126,2024-01-13,Wake Forest,A,47,66,11-5 (2-3)
401604133,2024-01-17,Virginia Tech,H,65,57,12-5 (3-3)
401604138,2024-01-20,Georgia Tech,A,75,66,13-5 (4-3)
401604147,2024-01-24,NC State,H,59,53,14-5 (5-3)
401604151,2024-01-27,Louisville,A,69,52,15-5 (6-3)
401604161,2024-01-31,Notre Dame,H,65,53,16-5 (7-3)
401604162,2024-02-03,Clemson,A,66,65,17-5 (8-3)
401604169,2024-02-05,Miami,H,60,38,18-5 (9-3)
401604178,2024-02-10,Florida State,A,80,76,19-5 (10-3)
401604184,2024-02-13,Pittsburgh,H,63,74,19-6 (10-4)
401604191,2024-02-17,Wake Forest,H,49,47,20-6 (11-4)
401604197,2024-02-19,Virginia Tech,A,41,75,20-7 (11-5)
401604205,2024-02-24,North Carolina,H,44,54,20-8 (11-6)
401604216,2024-02-28,Boston College,A,72,68,21-8 (12-6)
401604218,2024-03-02,Duke,A,48,73,21-9 (12-7)
401604236,2024-03-09,Georgia Tech,H,72,57,22-9 (13-7)
401625410,2024-03-14,Boston College,N,66,60,23-9 (13-7)
401625412,2024-03-15,NC State,N,65,73,23-10 (13-7)
401638580,2024-03-19,Colorado State,N,42,67,23-11 (13-7)
