player_id,player,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,team,opponent,home,starter,date,location
5175655,L. Olalere,10,0,0,0,0,0,0,3,1,4,0,0,0,2,5,0,Charleston Southern,Longwood,TRUE,TRUE,2025-02-01,H
4896986,T. Kelly,35,6,8,2,3,6,10,0,1,1,2,1,0,1,4,20,Charleston Southern,Longwood,TRUE,TRUE,2025-02-01,H
5108122,RJ Johnson,39,6,9,0,2,10,11,0,3,3,8,2,0,5,4,22,Charleston Southern,Longwood,TRUE,TRUE,2025-02-01,H
4897458,D. Berry,39,9,15,6,10,4,5,1,4,5,2,0,0,5,1,28,Charleston Southern,Longwood,TRUE,TRUE,2025-02-01,H
4585866,L. Oden Jr.,40,4,12,3,11,2,2,0,4,4,1,1,0,1,1,13,Charleston Southern,Longwood,TRUE,TRUE,2025-02-01,H
5240414,T. Camara,16,2,3,2,3,0,0,1,2,3,1,0,0,1,2,6,Charleston Southern,Longwood,TRUE,FALSE,2025-02-01,H
5107670,R. Jones,18,0,1,0,0,0,0,0,6,6,1,1,3,0,5,0,Charleston Southern,Longwood,TRUE,FALSE,2025-02-01,H
5240412,K. Wilkins,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Charleston Southern,Longwood,TRUE,FALSE,2025-02-01,H
5240411,A. Gause,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Charleston Southern,Longwood,TRUE,FALSE,2025-02-01,H
NA,TEAM,NA,27,48,13,29,22,28,6,23,29,15,5,3,15,23,89,Charleston Southern,Longwood,TRUE,FALSE,2025-02-01,H
