player_id,player,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,team,opponent,home,starter,date,location
5239526,A. L'Etang,20,4,5,2,2,0,0,0,3,3,3,1,1,0,2,10,Dayton,Saint Louis,TRUE,TRUE,2025-03-04,H
4433585,N. Santos,36,4,9,1,3,4,5,2,4,6,1,1,1,3,2,13,Dayton,Saint Louis,TRUE,TRUE,2025-03-04,H
5106599,J. Bennett,33,4,9,1,5,1,1,1,0,1,5,2,0,1,0,10,Dayton,Saint Louis,TRUE,TRUE,2025-03-04,H
4703000,E. Cheeks,38,7,14,3,5,0,2,2,7,9,1,2,1,3,1,17,Dayton,Saint Louis,TRUE,TRUE,2025-03-04,H
4683861,M. Smith,22,3,9,1,4,0,0,2,6,8,0,1,0,2,3,7,Dayton,Saint Louis,TRUE,TRUE,2025-03-04,H
5174574,J. Simon,6,0,1,0,1,2,2,0,1,1,0,0,0,0,1,2,Dayton,Saint Louis,TRUE,FALSE,2025-03-04,H
5108991,J. Conner,12,1,3,1,2,0,0,2,1,3,0,0,0,0,1,3,Dayton,Saint Louis,TRUE,FALSE,2025-03-04,H
4432401,Z. Key,20,3,6,0,0,4,4,2,5,7,1,0,2,1,1,10,Dayton,Saint Louis,TRUE,FALSE,2025-03-04,H
4433156,P. Alexander,13,1,5,1,3,0,0,2,3,5,2,0,0,0,0,3,Dayton,Saint Louis,TRUE,FALSE,2025-03-04,H
NA,TEAM,NA,27,61,10,25,11,14,13,30,43,13,7,5,11,11,75,Dayton,Saint Louis,TRUE,FALSE,2025-03-04,H
