player_id,player,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,team,opponent,home,starter,date,location
5107211,K. Steele,14,0,2,0,0,0,0,2,2,4,0,0,0,0,1,0,Maine,UMass Lowell,FALSE,TRUE,2025-01-23,A
5107209,J. Clayton,41,3,9,0,1,1,2,1,3,4,3,4,0,0,0,7,Maine,UMass Lowell,FALSE,TRUE,2025-01-23,A
4897990,Q. Burns,42,9,16,3,7,7,7,0,8,8,1,0,0,0,3,28,Maine,UMass Lowell,FALSE,TRUE,2025-01-23,A
4897192,AJ Lopez,31,9,15,4,5,5,5,0,1,1,0,2,0,2,3,27,Maine,UMass Lowell,FALSE,TRUE,2025-01-23,A
4702078,K. Tynes,36,4,11,0,1,8,9,0,4,4,2,2,2,3,5,16,Maine,UMass Lowell,FALSE,TRUE,2025-01-23,A
5107810,K. Gribben,21,1,2,0,0,0,2,0,5,5,1,1,0,0,2,2,Maine,UMass Lowell,FALSE,FALSE,2025-01-23,A
5107189,R. Tutic,9,2,2,0,0,0,0,0,0,0,0,0,0,0,1,4,Maine,UMass Lowell,FALSE,FALSE,2025-01-23,A
4897226,C. Mantis,19,0,4,0,3,0,0,0,1,1,2,0,0,1,1,0,Maine,UMass Lowell,FALSE,FALSE,2025-01-23,A
5175690,L. Carey,12,1,1,0,0,0,0,0,0,0,0,0,0,1,1,2,Maine,UMass Lowell,FALSE,FALSE,2025-01-23,A
NA,TEAM,NA,29,62,7,17,21,25,6,24,30,9,9,2,7,17,86,Maine,UMass Lowell,FALSE,FALSE,2025-01-23,A
