player_id,player,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,team,opponent,home,starter,date,location
4895776,D. Royal,35,2,7,0,2,2,2,1,5,6,0,0,0,1,3,6,Ohio State,UCLA,FALSE,TRUE,2025-02-23,A
4869739,S. Stewart,12,1,4,0,0,0,0,1,1,2,2,1,0,0,4,2,Ohio State,UCLA,FALSE,TRUE,2025-02-23,A
5105837,B. Thornton,40,7,17,3,9,4,4,0,4,4,3,2,0,0,0,21,Ohio State,UCLA,FALSE,TRUE,2025-02-23,A
5060708,J. Mobley Jr.,23,3,10,2,7,0,0,0,0,0,1,3,0,1,1,8,Ohio State,UCLA,FALSE,TRUE,2025-02-23,A
4702719,M. Parrish,39,2,10,1,6,7,7,2,5,7,1,1,2,3,1,12,Ohio State,UCLA,FALSE,TRUE,2025-02-23,A
5239599,I. Njegovan,5,0,3,0,0,0,0,1,3,4,0,0,0,1,1,0,Ohio State,UCLA,FALSE,FALSE,2025-02-23,A
4711260,A. Parks,14,1,2,0,1,1,1,2,0,2,0,0,0,0,1,3,Ohio State,UCLA,FALSE,FALSE,2025-02-23,A
5105847,E. Mahaffey,15,1,3,0,0,0,0,3,0,3,1,1,1,1,3,2,Ohio State,UCLA,FALSE,FALSE,2025-02-23,A
4592827,Q. Glover,17,3,7,0,2,1,2,0,0,0,2,0,1,1,2,7,Ohio State,UCLA,FALSE,FALSE,2025-02-23,A
NA,TEAM,NA,20,63,6,27,15,16,13,21,34,10,8,4,9,16,61,Ohio State,UCLA,FALSE,FALSE,2025-02-23,A
