player_id,player,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,team,opponent,home,starter,date,location
5079838,B. Buchanan,25,1,4,0,0,2,2,1,2,3,0,2,0,2,2,4,Virginia,SMU,FALSE,TRUE,2024-12-07,A
4870565,E. Saunders,25,0,6,0,2,3,4,0,3,3,0,1,0,0,4,3,Virginia,SMU,FALSE,TRUE,2024-12-07,A
5109019,A. Rohde,31,3,8,1,2,2,2,0,2,2,3,1,0,4,2,9,Virginia,SMU,FALSE,TRUE,2024-12-07,A
4845373,D. Ames,7,1,3,0,0,0,0,0,1,1,1,1,0,1,0,2,Virginia,SMU,FALSE,TRUE,2024-12-07,A
4712845,I. McKneely,34,5,12,4,8,3,3,0,3,3,3,0,0,3,2,17,Virginia,SMU,FALSE,TRUE,2024-12-07,A
5143921,A. Robinson,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,Virginia,SMU,FALSE,FALSE,2024-12-07,A
4873219,J. Cofie,24,3,6,1,2,1,1,1,1,2,3,0,2,0,2,8,Virginia,SMU,FALSE,FALSE,2024-12-07,A
4684843,TJ Power,11,1,3,1,2,0,0,0,0,0,0,0,0,1,1,3,Virginia,SMU,FALSE,FALSE,2024-12-07,A
5183809,I. Sharma,15,1,3,1,2,0,0,0,4,4,0,1,0,1,3,3,Virginia,SMU,FALSE,FALSE,2024-12-07,A
4692906,T. Murray,26,1,2,0,1,0,0,0,4,4,1,2,0,1,3,2,Virginia,SMU,FALSE,FALSE,2024-12-07,A
NA,TEAM,NA,16,47,8,19,11,12,3,22,25,11,8,2,14,19,51,Virginia,SMU,FALSE,FALSE,2024-12-07,A
