player_id,player,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,team,opponent,home,starter,date,location
4791227,D. McGlockton,21,3,6,1,3,0,0,5,5,10,2,0,1,1,4,7,Vanderbilt,LSU,FALSE,TRUE,2025-01-04,A
4838721,T. Nickel,23,4,8,3,6,0,0,1,1,2,1,1,1,0,2,11,Vanderbilt,LSU,FALSE,TRUE,2025-01-04,A
4702972,C. Manon,15,0,2,0,1,1,2,2,3,5,1,0,0,1,4,1,Vanderbilt,LSU,FALSE,TRUE,2025-01-04,A
4432522,G. Huffman,24,2,3,0,1,0,0,1,0,1,1,3,0,2,4,4,Vanderbilt,LSU,FALSE,TRUE,2025-01-04,A
4432206,AJ Hoggard,31,6,14,2,5,3,5,1,0,1,4,1,0,1,3,17,Vanderbilt,LSU,FALSE,TRUE,2025-01-04,A
4685687,J. Carey,28,6,12,0,2,2,5,3,5,8,2,2,1,3,1,14,Vanderbilt,LSU,FALSE,FALSE,2025-01-04,A
5187600,T. Tanner,15,0,4,0,3,0,0,0,1,1,0,1,0,0,3,0,Vanderbilt,LSU,FALSE,FALSE,2025-01-04,A
5175064,J. Edwards,17,2,9,1,3,7,7,0,2,2,0,0,0,0,0,12,Vanderbilt,LSU,FALSE,FALSE,2025-01-04,A
5105401,MJ Collins Jr.,26,5,6,1,2,3,5,1,3,4,0,2,0,0,0,14,Vanderbilt,LSU,FALSE,FALSE,2025-01-04,A
NA,TEAM,NA,28,64,8,26,16,24,17,20,37,11,10,3,9,21,80,Vanderbilt,LSU,FALSE,FALSE,2025-01-04,A
