game_id,away,home,away_rank,home_rank,away_score,home_score,date
401725588,Memphis,South Florida,14,NA,80,65,2025-02-13
401721426,Maryland,Nebraska,25,NA,83,75,2025-02-13
401714265,Monmouth,Stony Brook,NA,NA,79,69,2025-02-13
401706613,California Baptist,UT Arlington,NA,NA,79,82,2025-02-13
401720842,NJIT,Bryant,NA,NA,66,88,2025-02-13
401720841,Binghamton,UMBC,NA,NA,77,81,2025-02-13
401720840,UAlbany,UMass Lowell,NA,NA,90,88,2025-02-13
401711719,Queens University,Bellarmine,NA,NA,92,87,2025-02-13
401727913,Longwood,High Point,NA,NA,72,83,2025-02-13
401722007,St. Francis (PA),Stonehill,NA,NA,74,79,2025-02-13
401721166,Wagner,Le Moyne,NA,NA,68,72,2025-02-13
401721125,Chicago State,Fairleigh Dickinson,NA,NA,49,91,2025-02-13
401721102,Mercyhurst,Central Connecticut,NA,NA,63,73,2025-02-13
401720839,New Hampshire,Vermont,NA,NA,59,79,2025-02-13
401719667,Northern Arizona,Portland State,NA,NA,46,58,2025-02-13
401714597,Old Dominion,Georgia State,NA,NA,75,97,2025-02-13
401714595,James Madison,Georgia Southern,NA,NA,77,72,2025-02-13
401714594,App State,Coastal Carolina,NA,NA,64,46,2025-02-13
401714270,Charleston,UNC Wilmington,NA,NA,66,86,2025-02-13
401714269,Campbell,Northeastern,NA,NA,58,67,2025-02-13
401714268,North Carolina A&T,Elon,NA,NA,60,59,2025-02-13
401714267,Delaware,Towson,NA,NA,70,75,2025-02-13
401714266,Drexel,Hampton,NA,NA,58,63,2025-02-13
401714264,Hofstra,William & Mary,NA,NA,60,61,2025-02-13
401711698,North Florida,North Alabama,NA,NA,70,83,2025-02-13
401711627,West Georgia,Eastern Kentucky,NA,NA,73,95,2025-02-13
401714593,Texas State,UL Monroe,NA,NA,72,60,2025-02-13
401711661,Jacksonville,Central Arkansas,NA,NA,77,62,2025-02-13
401700229,Kennesaw State,Louisiana Tech,NA,NA,69,47,2025-02-13
401700228,Jacksonville State,Sam Houston,NA,NA,61,66,2025-02-13
401714596,Marshall,South Alabama,NA,NA,82,91,2025-02-13
401711610,Florida Gulf Coast,Austin Peay,NA,NA,60,73,2025-02-13
401706615,Seattle U,Abilene Christian,NA,NA,59,75,2025-02-13
401706614,Grand Canyon,Tarleton State,NA,NA,64,60,2025-02-13
401706549,Kansas City,South Dakota,NA,NA,72,79,2025-02-13
401706548,Omaha,South Dakota State,NA,NA,85,98,2025-02-13
401706547,Denver,North Dakota,NA,NA,68,64,2025-02-13
401700357,Tennessee Tech,Little Rock,NA,NA,75,79,2025-02-13
401711676,Stetson,Lipscomb,NA,NA,60,93,2025-02-13
401706616,Utah Tech,Southern Utah,NA,NA,74,76,2025-02-13
401700359,Southern Indiana,Western Illinois,NA,NA,62,87,2025-02-13
401700358,UT Martin,SIU Edwardsville,NA,NA,76,71,2025-02-13
401700356,Morehead State,Lindenwood,NA,NA,60,73,2025-02-13
401700355,Tennessee State,Eastern Illinois,NA,NA,66,49,2025-02-13
401720932,Idaho State,Montana,NA,NA,68,81,2025-02-13
401720553,Weber State,Montana State,NA,NA,66,74,2025-02-13
401714335,UC Riverside,UC Davis,NA,NA,74,75,2025-02-13
401706550,Oral Roberts,North Dakota State,NA,NA,88,94,2025-02-13
401700231,Liberty,New Mexico State,NA,NA,64,54,2025-02-13
401700230,Florida International,UTEP,NA,NA,63,77,2025-02-13
401714336,UC San Diego,Cal State Bakersfield,NA,NA,73,54,2025-02-13
401719389,Northern Colorado,Sacramento State,NA,NA,61,77,2025-02-13
401714337,Cal Poly,Cal State Fullerton,NA,NA,98,83,2025-02-13
401706736,San Diego,Pepperdine,NA,NA,81,88,2025-02-13
401706735,Pacific,Loyola Marymount,NA,NA,83,58,2025-02-13
401706733,Oregon State,Portland,NA,NA,72,84,2025-02-13
