player_id,number,name,position,height,weight,class,hometown,player_image
5238194,0,Jaden Karuletwa,G,"6' 5""",185 lbs,FR,"Sun Valley, CA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5238194.png
4702655,1,Johnell Davis,G,"6' 4""",210 lbs,SR,"Gary, IN",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4702655.png
4845358,2,Layden Blocker,G,"6' 2""",185 lbs,SO,"Little Rock, AR",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4845358.png
5238195,2,Boogie Fland,G,"6' 2""",175 lbs,FR,"Bronx, NY",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5238195.png
5060631,3,Adou Thiero,F,"6' 8""",220 lbs,JR,"Pittsburgh, PA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5060631.png
4698719,4,Trevon Brazile,F,"6' 10""",230 lbs,JR,"Springfield, MO",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4698719.png
4432197,4,Davonte Davis,G,"6' 4""",185 lbs,SR,"Jacksonville, AR",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4432197.png
5183293,5,Casmir Chavis,G,"6' 0""",180 lbs,FR,"Minneapolis, MN",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5183293.png
4699760,5,Joseph Pinion,G,"6' 5""",200 lbs,JR,"Morrilton, AR",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4699760.png
5116128,8,Melo Sanchez,G,"6' 4""",185 lbs,JR,"San Diego, CA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5116128.png
4684682,9,Jonas Aidoo,F,"6' 11""",240 lbs,SR,"Durham, NC",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4684682.png
4869777,11,Karter Knox,F,"6' 6""",220 lbs,FR,"Tampa, FL",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4869777.png
4432243,12,Tramon Mark,G,"6' 5""",200 lbs,SR,"Dickinson, TX",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4432243.png
4593268,13,Denijay Harris,F,"6' 7""",200 lbs,SR,"Columbus, MS",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4593268.png
5238196,14,Ayden Kelley,G,"5' 10""",170 lbs,FR,"Southaven, MS",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5238196.png
4683770,21,Baye Fall,G,"6' 11""",215 lbs,SO,"Dakar, Senegal",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4683770.png
4683777,21,D.J. Wagner,G,"6' 4""",195 lbs,SO,"Camden, NJ",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4683777.png
5060732,24,Billy Richmond III,F,"6' 5""",205 lbs,FR,"Memphis, TN",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5060732.png
4702469,25,Kareem Watkins,G,"5' 8""",175 lbs,SR,"Camden, NJ",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4702469.png
5174665,44,Zvonimir Ivisic,F,"7' 2""",245 lbs,SO,"Vodice, Croatia",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5174665.png
4896388,45,Lawson Blake,F,"6' 10""",240 lbs,SR,"Fayetteville, AR",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4896388.png
4431719,99,Khalif Battle,G,"6' 5""",185 lbs,SR,"Hillside, NJ",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4431719.png
