player_id,number,name,position,height,weight,class,hometown,player_image
5175952,2,Malik Mack,G,"6' 2""",175 lbs,SO,"Oxon Hill, MD",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5175952.png
5175953,3,Xavier Nesbitt,G,"5' 11""",170 lbs,SO,"Chicago, IL",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5175953.png
5061572,4,Robert Hinton,G,"6' 5""",190 lbs,FR,"Los Angeles, CA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5061572.png
5241725,5,Ben Eisendrath,G,"6' 2""",175 lbs,FR,"Los Angeles, CA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5241725.png
5241726,6,Kenan Parrish,F,"7' 0""",260 lbs,FR,"Pittsboro, NC",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5241726.png
5241727,7,Austin Hunt,G,"6' 4""",185 lbs,FR,"Marlborough, MA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5241727.png
5241728,8,Tey Barbour,G,"6' 4""",190 lbs,FR,"Manassas, VA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5241728.png
4684745,10,Chisom Okpara,F,"6' 8""",225 lbs,JR,"Bronxville, NY",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4684745.png
4702960,11,Evan Nelson,G,"6' 2""",170 lbs,SR,"Tucson, AZ",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4702960.png
5241729,12,Dutch Dowdell,G,"6' 6""",195 lbs,FR,"Holladay, UT",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5241729.png
4902967,13,Chandler Pigge,G,"6' 5""",210 lbs,JR,"Houston, TX",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4902967.png
5106251,14,Greg Cooper,G,"6' 0""",170 lbs,JR,"Cambridge, MA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5106251.png
5175954,15,Thomas Batties II,F,"6' 7""",215 lbs,SO,"Washington, DC",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5175954.png
5241731,17,Leo Byrne,F,"6' 8""",195 lbs,FR,"Stockholm, Sweden",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5241731.png
4702962,22,Justice Ajogbor,C,"6' 10""",260 lbs,SR,"Benin City, Nigeria",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4702962.png
4898222,23,Louis Lesmond,G,"6' 6""",190 lbs,SR,"Paris, France",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4898222.png
5175956,24,Payton Pitts,G,"6' 2""",180 lbs,SO,"Chicago, IL",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5175956.png
5175955,35,Luca Ace-Nasteski,F,"6' 10""",225 lbs,SO,"Manly, Australia",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5175955.png
5246760,40,Ledger Hatch,G,"6' 4""",190 lbs,SR,"Orlando, FL",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5246760.png
