play_id,half,time_remaining_half,secs_remaining,secs_remaining_absolute,description,home_score,away_score,score_diff,play_length,win_prob,naive_win_prob,home,away,home_time_out_remaining,away_time_out_remaining,home_favored_by,game_id,date
1,1,20:00,2400,2400,PLAY,0,0,0,11,0.6730339881822752,0.5,Vanderbilt,Tulsa,4,4,4.5,401169867,2019-11-30
2,1,19:49,2389,2389,Reggie Jones missed Three Point Jumper.,0,0,0,4,0.6728594709044542,0.5,Vanderbilt,Tulsa,4,4,4.5,401169867,2019-11-30
3,1,19:45,2385,2385,Clevon Brown Defensive Rebound.,0,0,0,23,0.6727954290792376,0.5,Vanderbilt,Tulsa,4,4,4.5,401169867,2019-11-30
4,1,19:22,2362,2362,Maxwell Evans missed Three Point Jumper.,0,0,0,4,0.6724210640404725,0.5,Vanderbilt,Tulsa,4,4,4.5,401169867,2019-11-30
5,1,19:18,2358,2358,Dylan Disu Offensive Rebound.,0,0,0,5,0.6723548761338065,0.5,Vanderbilt,Tulsa,4,4,4.5,401169867,2019-11-30
6,1,19:13,2353,2353,Aaron Nesmith made Three Point Jumper. Assisted by Maxwell Evans.,3,0,3,1,0.7289628627994105,0.5673112256785492,Vanderbilt,Tulsa,4,4,4.5,401169867,2019-11-30
7,1,19:12,2352,2352,Foul on Martins Igbanu.,3,0,3,0,0.7289737038251768,0.5673432999490362,Vanderbilt,Tulsa,4,4,4.5,401169867,2019-11-30
8,1,19:12,2352,2352,Aaron Nesmith made Free Throw.,4,0,4,19,0.7464489063320314,0.5893696165647232,Vanderbilt,Tulsa,4,4,4.5,401169867,2019-11-30
9,1,18:53,2333,2333,Brandon Rachal Turnover.,4,0,4,0,0.7468031066752417,0.5901752492294253,Vanderbilt,Tulsa,4,4,4.5,401169867,2019-11-30
10,1,18:53,2333,2333,Dylan Disu Steal.,4,0,4,19,0.7468031066752417,0.5901752492294253,Vanderbilt,Tulsa,4,4,4.5,401169867,2019-11-30
11,1,18:34,2314,2314,Scotty Pippen Jr. missed Jumper.,4,0,4,5,0.747157300730281,0.5909889497370904,Vanderbilt,Tulsa,4,4,4.5,401169867,2019-11-30
12,1,18:29,2309,2309,Isaiah Hill Defensive Rebound.,4,0,4,4,0.7472504201935115,0.5912043322300354,Vanderbilt,Tulsa,4,4,4.5,401169867,2019-11-30
13,1,18:25,2305,2305,Isaiah Hill made Three Point Jumper. Assisted by Martins Igbanu.,4,3,1,32,0.691501824518084,0.5230873662555565,Vanderbilt,Tulsa,4,4,4.5,401169867,2019-11-30
14,1,17:53,2273,2273,Dylan Disu missed Three Point Jumper.,4,3,1,3,0.6912505879727509,0.52344678344423,Vanderbilt,Tulsa,4,4,4.5,401169867,2019-11-30
15,1,17:50,2270,2270,Vanderbilt Offensive Rebound.,4,3,1,10,0.6912261296257004,0.5234807289117777,Vanderbilt,Tulsa,4,4,4.5,401169867,2019-11-30
16,1,17:40,2260,2260,Aaron Nesmith missed Jumper.,4,3,1,0,0.6911434333676494,0.5235941644404918,Vanderbilt,Tulsa,4,4,4.5,401169867,2019-11-30
17,1,17:40,2260,2260,Brandon Rachal Block.,4,3,1,1,0.6911434333676494,0.5235941644404918,Vanderbilt,Tulsa,4,4,4.5,401169867,2019-11-30
18,1,17:39,2259,2259,Vanderbilt Offensive Rebound.,4,3,1,6,0.691135063607923,0.523605531345516,Vanderbilt,Tulsa,4,4,4.5,401169867,2019-11-30
19,1,17:33,2253,2253,Foul on Maxwell Evans.,4,3,1,0,0.6910844568459003,0.5236738188039088,Vanderbilt,Tulsa,4,4,4.5,401169867,2019-11-30
20,1,17:33,2253,2253,Maxwell Evans Turnover.,4,3,1,7,0.6910844568459003,0.5236738188039088,Vanderbilt,Tulsa,4,4,4.5,401169867,2019-11-30
21,1,17:26,2246,2246,Isaiah Hill made Layup.,4,5,-1,16,0.6490215489115143,0.4762463316928163,Vanderbilt,Tulsa,4,4,4.5,401169867,2019-11-30
22,1,17:10,2230,2230,Scotty Pippen Jr. made Layup.,6,5,1,14,0.6908841344322044,0.523936865765826,Vanderbilt,Tulsa,4,4,4.5,401169867,2019-11-30
23,1,16:56,2216,2216,Isaiah Hill Turnover.,6,5,1,18,0.6907570996068105,0.5240978763366215,Vanderbilt,Tulsa,4,4,4.5,401169867,2019-11-30
