game_id,date,opponent,location,team_score,opp_score,record
401173645,2019-11-05,UNLV,A,71,86,0-1 (0-0)
401176777,2019-11-07,Manchester,H,91,80,1-1 (0-0)
401175032,2019-11-10,SE Missouri St,A,78,79,1-2 (0-0)
401172570,2019-11-13,Miami OH,H,80,84,1-3 (0-0)
401170361,2019-11-16,Stetson,H,79,55,2-3 (0-0)
401172585,2019-11-19,Kent State,A,68,75,2-4 (0-0)
401166091,2019-11-22,Ohio State,A,46,85,2-5 (0-0)
401174940,2019-11-24,Ohio Northern,H,81,47,3-5 (0-0)
401172049,2019-11-27,Niagara,H,77,54,4-5 (0-0)
401174945,2019-11-30,Grand Canyon,A,71,60,5-5 (0-0)
401174042,2019-12-04,Eastern Illinois,H,74,69,6-5 (0-0)
401174464,2019-12-07,UIC,A,NA,NA,
401176778,2019-12-10,Judson College,H,NA,NA,
401174446,2019-12-14,IUPUI,A,NA,NA,
401169667,2019-12-22,Iowa State,A,NA,NA,
401174956,2020-01-01,South Dakota,H,NA,NA,
401174963,2020-01-05,North Dakota,A,NA,NA,
401174966,2020-01-08,Western Illinois,A,NA,NA,
401174970,2020-01-11,South Dakota State,H,NA,NA,
401174977,2020-01-18,Oral Roberts,H,NA,NA,
401174982,2020-01-23,South Dakota,A,NA,NA,
401174985,2020-01-25,Omaha,A,NA,NA,
401174989,2020-01-30,North Dakota,H,NA,NA,
401174991,2020-02-01,North Dakota State,H,NA,NA,
401174996,2020-02-05,Western Illinois,H,NA,NA,
401174998,2020-02-08,Denver,A,NA,NA,
401175005,2020-02-14,North Dakota State,A,NA,NA,
401175009,2020-02-16,South Dakota State,A,NA,NA,
401175012,2020-02-20,Omaha,H,NA,NA,
401175017,2020-02-26,Denver,H,NA,NA,
401175024,2020-02-29,Oral Roberts,A,NA,NA,
